Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-03-02 10:01:55,1,1,Caelan McSweeney,Roan Dunkerley,0,0,0,0,0,0,0,1,0,0,1,13.552718,6.406249,11.943038,0.43459916,0.6193182,0.11181434,0.56107956
2025-03-02 10:01:59,1,1,Roan Dunkerley,Ethan Lieman,0,0,0,0,0,0,0,0,0,1,1,10.48381,10.078128,2.8881855,0.11181434,0.56107956,0.033755273,0.46946022
2025-03-02 10:02:05,1,1,Ethan Lieman,Caelan McSweeney,0,0,0,0,0,0,0,1,0,1,0,17.384779,-5.078126,-16.626581,0.033755273,0.46946022,0.48312235,0.515625
2025-03-02 10:02:10,1,1,Caelan McSweeney,Luca Harwood,0,0,0,0,0,0,0,1,0,0,0,14.03437,5.3906255,-12.957806,0.48312235,0.515625,0.8333333,0.4666193
2025-03-02 10:02:17,1,1,Luca Harwood,Roan Dunkerley,0,0,0,0,0,0,0,1,0,0,0,14.157343,5.7031255,12.957806,0.8333333,0.4666193,0.48312235,0.41477272
2025-03-02 10:02:32,1,1,Roan Dunkerley,Ethan Lieman,0,0,0,0,0,0,0,1,0,0,1,14.343829,4.374999,13.6603365,0.48312235,0.41477272,0.11392405,0.375
2025-03-02 10:02:38,1,1,Ethan Lieman,Griffin Gee,0,0,0,0,0,0,0,0,0,1,1,8.469547,8.203126,2.107595,0.11392405,0.375,0.056962024,0.30042613
2025-03-02 10:02:42,1,1,Griffin Gee,Ethan Lieman,0,0,0,0,0,0,0,0,0,1,1,5.083519,5.0781226,-0.23417728,0.056962024,0.30042613,0.06329114,0.25426137
2025-03-02 10:02:48,1,1,Ethan Lieman,Caelan McSweeney,0,0,0,0,0,0,0,0,1,1,0,13.145772,-7.4218755,-10.850211,0.06329114,0.25426137,0.35654008,0.32173297
2025-03-02 10:02:50,1,1,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,7.4195123,4.8437505,5.620253,0.35654008,0.32173297,0.20464136,0.27769887
2025-03-02 10:02:52,1,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,6.873419,5.5468755,-4.059071,0.20464136,0.27769887,0.314346,0.22727273
2025-03-02 10:02:58,1,1,Caelan McSweeney,Ethan Lieman,0,0,0,0,0,1,0,0,0,0,1,7.3412943,-0.23437396,7.337552,0.314346,0.22727273,0.116033755,0.2294034
2025-03-02 10:03:09,1,1,Ethan Lieman,Griffin Gee,0,0,0,1,1,0,0,0,0,1,0,14.191543,10.078124,-9.991561,0.116033755,0.2294034,0.38607594,0.1377841
2025-03-02 10:07:48,3,1,Carter Hawkins,Shiff Burt,0,0,0,0,0,0,0,0,1,0,0,14.839368,-12.265626,-8.352321,0.20042194,0.62571025,0.42616034,0.73721594
2025-03-02 10:07:50,3,1,Shiff Burt,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,8.659963,8.046878,-3.2004223,0.42616034,0.73721594,0.51265824,0.6640625
