Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-01-31 15:22:00,1,1,Caelan McSweeney,Roan Dunkerley,0,0,0,0,0,0,0,0,0,0,0,17.314405,14.140627,-9.991561,0.5780591,0.62357956,0.84810126,0.4950284
2025-01-31 15:22:08,1,1,Roan Dunkerley,Luca Harwood,0,0,0,0,0,0,0,0,1,0,1,10.707547,-10.625,-1.3270054,0.84810126,0.4950284,0.88396627,0.5916193
2025-01-31 15:22:12,1,1,Luca Harwood,,1,1,0,0,0,0,0,0,0,1,0,15.077194,10.468748,10.850211,0.88396627,0.5916193,0.5907173,0.49644887
2025-01-31 15:22:47,1,2,Carter Hawkins,Roan Dunkerley,0,0,0,0,0,0,0,0,0,0,0,14.730753,11.171875,9.601265,0.7721519,0.7855114,0.51265824,0.6839489
2025-01-31 15:22:50,1,2,Roan Dunkerley,Gavin Abrahamson,0,0,0,0,0,0,0,0,0,0,0,10.956058,10.546876,-2.966245,0.51265824,0.6839489,0.592827,0.5880682
2025-01-31 15:22:56,1,2,Gavin Abrahamson,Luca Harwood,0,0,0,0,0,1,0,0,0,0,0,24.972366,24.218752,-6.088606,0.592827,0.5880682,0.75738394,0.36789772
2025-01-31 15:23:01,1,2,Luca Harwood,Ethan Lieman,0,0,0,1,1,0,0,0,0,0,0,25.013493,24.765623,3.5126567,0.75738394,0.36789772,0.6624473,0.14275569
2025-01-31 15:25:19,2,1,,Charlie Leightheiser,0,0,0,0,0,0,0,0,0,0,0,10.769199,7.734375,-7.4936705,0.28691983,0.7478693,0.48945147,0.6775568
2025-01-31 15:25:23,2,1,Charlie Leightheiser,Leo Narbonne,0,0,0,0,0,0,0,0,0,0,0,7.857186,6.2500005,-4.761603,0.48945147,0.6775568,0.61814344,0.6207386
2025-01-31 15:25:27,2,1,Leo Narbonne,Wes K-H,0,0,0,0,0,0,0,0,0,0,0,11.025451,9.531246,-5.5421944,0.61814344,0.6207386,0.7679325,0.53409094
2025-01-31 15:25:31,2,1,Wes K-H,Charlie Leightheiser,0,0,0,0,0,1,0,0,0,0,0,4.9605865,4.4531264,-2.1856537,0.7679325,0.53409094,0.8270042,0.49360797
2025-01-31 15:25:37,2,1,Charlie Leightheiser,Leo Narbonne,0,0,0,1,1,0,0,0,0,0,0,35.836105,35.15625,6.9472566,0.8270042,0.49360797,0.6392405,0.17400569
2025-01-31 15:28:37,3,1,Artie Aucoin,Mason Stone,0,0,0,0,0,0,0,1,0,1,0,17.94714,5.703129,17.016878,0.9135021,0.78409094,0.4535865,0.7322443
2025-01-31 15:28:40,3,1,Mason Stone,Tomo Liou,0,0,0,0,0,0,0,1,0,0,1,13.125322,0.546872,13.113924,0.4535865,0.7322443,0.09915612,0.72727275
2025-01-31 15:28:47,3,1,Tomo Liou,Sam Green,0,0,0,0,0,0,0,1,0,1,0,27.071451,3.4375,-26.85232,0.09915612,0.72727275,0.8248945,0.69602275
2025-01-31 15:28:50,3,1,Sam Green,Jonathan Coombs,0,0,0,0,0,0,0,0,0,0,1,15.57996,15.546877,-1.0147688,0.8248945,0.69602275,0.8523207,0.5546875
2025-01-31 15:28:54,3,1,Jonathan Coombs,Mason Stone,0,0,0,0,0,0,0,0,0,1,1,10.632166,10.625,-0.39029568,0.8523207,0.5546875,0.8628692,0.4580966
2025-01-31 15:29:02,3,1,Mason Stone,Artie Aucoin,0,0,0,0,0,0,0,0,0,1,1,7.892171,7.8906264,0.15611827,0.8628692,0.4580966,0.8586498,0.38636363
2025-01-31 15:29:18,3,1,Artie Aucoin,Tomo Liou,0,0,0,0,0,0,0,0,0,1,1,6.002502,5.0781226,-3.2004223,0.8586498,0.38636363,0.9451477,0.34019887
2025-01-31 15:29:26,3,1,Tomo Liou,Artie Aucoin,0,0,0,0,0,0,0,0,1,1,0,17.511189,-12.03125,12.723628,0.9451477,0.34019887,0.60126585,0.44957387
2025-01-31 15:29:45,3,1,Artie Aucoin,Tomo Liou,0,0,0,0,0,0,0,0,0,0,0,13.672251,10.3125,-8.976792,0.60126585,0.44957387,0.84388185,0.35582387
2025-01-31 15:29:48,3,1,Tomo Liou,Artie Aucoin,0,0,0,0,0,0,0,0,0,0,1,8.69378,7.4218755,-4.527426,0.84388185,0.35582387,0.9662447,0.28835228
2025-01-31 15:29:53,3,1,Artie Aucoin,Tomo Liou,0,0,0,0,0,0,0,0,1,1,0,11.075746,-4.0624995,10.303797,0.9662447,0.28835228,0.6877637,0.3252841
2025-01-31 15:29:58,3,1,Tomo Liou,Artie Aucoin,0,0,0,0,0,0,0,0,0,0,1,7.913501,4.0624995,-6.7911406,0.6877637,0.3252841,0.871308,0.28835228
2025-01-31 15:30:04,3,1,Artie Aucoin,Mason Stone,0,0,0,0,0,0,0,0,1,1,0,9.6505375,-1.5624986,9.523208,0.871308,0.28835228,0.613924,0.3025568
2025-01-31 15:30:10,3,1,Mason Stone,Artie Aucoin,0,0,0,0,0,0,0,0,1,0,0,5.3190656,-3.4375,4.0590706,0.613924,0.3025568,0.5042194,0.3338068
2025-01-31 15:30:12,3,1,Artie Aucoin,Mason Stone,0,0,0,0,0,0,0,0,0,0,0,7.3712816,3.515624,6.478903,0.5042194,0.3338068,0.32911393,0.3018466
2025-01-31 15:30:15,3,1,Mason Stone,Artie Aucoin,1,0,1,0,0,0,0,1,0,0,0,19.06849,4.296875,-18.578056,0.32911393,0.3018466,0.8312236,0.2627841
2025-01-31 15:31:00,3,2,Artie Aucoin,Mason Stone,0,0,0,1,1,0,0,0,0,0,0,23.947504,23.906248,-1.4050634,0.15189873,0.36576703,0.18987341,0.1484375
2025-01-31 15:35:07,4,1,Jonathan Coombs,Ethan Lieman,0,0,0,0,0,0,0,0,0,0,0,26.056793,25.15625,6.791138,0.62658226,0.7833807,0.443038,0.5546875
2025-01-31 15:35:10,4,1,Ethan Lieman,Toby Paperno,0,0,0,0,0,0,0,0,0,0,0,18.132017,16.09375,-8.352321,0.443038,0.5546875,0.6687764,0.4083807
2025-01-31 15:35:15,4,1,Toby Paperno,,1,0,1,0,0,0,0,0,0,0,0,20.880568,15.859377,13.582279,0.6687764,0.4083807,0.30168778,0.26420453
2025-01-31 15:38:50,5,1,Luca Harwood,Caelan McSweeney,0,0,0,0,0,0,0,0,1,1,0,16.726255,-8.828126,14.206752,0.9556962,0.49573863,0.57172996,0.5759943
2025-01-31 15:38:57,5,1,Caelan McSweeney,Calan Kirkpatrick,0,0,0,0,0,0,0,0,0,0,0,15.359996,12.890625,8.352321,0.57172996,0.5759943,0.34599155,0.4588068
2025-01-31 15:39:23,5,1,Calan Kirkpatrick,Luca Harwood,0,0,0,0,0,0,0,0,1,0,0,19.350082,-10.156252,-16.470465,0.34599155,0.4588068,0.79113925,0.5511364
2025-01-31 15:39:26,5,1,Luca Harwood,Ian Buchanon,0,0,0,0,0,0,0,0,0,0,0,15.036123,12.656253,8.118144,0.79113925,0.5511364,0.57172996,0.43607953
2025-01-31 15:39:32,5,1,Ian Buchanon,,1,1,0,1,0,0,0,0,0,0,1,34.536644,32.65625,-11.240507,0.57172996,0.43607953,0.87552744,0.13920455
2025-01-31 15:40:53,5,2,Caelan McSweeney,Luca Harwood,0,0,0,1,1,0,0,0,0,0,0,19.140625,19.140625,0.0,0.18987341,0.30113637,0.18987341,0.12713069
2025-01-31 15:45:56,7,1,Carter Hawkins,Luca Harwood,0,0,0,0,0,0,0,0,0,0,1,22.710985,16.640621,-15.455696,0.48734176,0.74360794,0.9050633,0.59232956
2025-01-31 15:46:02,7,1,Luca Harwood,Mason Stone,0,0,0,0,0,1,0,0,0,1,0,35.120228,32.73438,12.723628,0.9050633,0.59232956,0.5611814,0.2947443
2025-01-31 15:46:05,7,1,Mason Stone,Shiff Burt,0,0,0,1,1,0,0,0,0,0,0,19.440527,14.765625,12.645569,0.5611814,0.2947443,0.21940929,0.16051136
2025-01-31 15:50:07,8,1,Taylor Hanson,Roan Dunkerley,0,0,0,0,0,0,0,1,0,0,0,16.372738,-2.1093738,16.236288,0.7995781,0.4453125,0.3607595,0.46448863
2025-01-31 15:50:13,8,1,Roan Dunkerley,Taylor Hanson,0,0,0,0,0,0,0,0,1,0,0,9.489857,-7.343751,-6.010549,0.3607595,0.46448863,0.5232068,0.53125
2025-01-31 15:50:15,8,1,Taylor Hanson,Roan Dunkerley,0,0,0,0,0,0,0,0,0,0,0,8.282265,1.6406226,-8.118144,0.5232068,0.53125,0.74261606,0.51633525
2025-01-31 15:50:19,8,1,Roan Dunkerley,Calan Kirkpatrick,0,0,0,0,0,0,0,1,0,0,0,12.118708,3.1250036,11.708861,0.74261606,0.51633525,0.42616034,0.48792613
2025-01-31 15:50:22,8,1,Calan Kirkpatrick,Taylor Hanson,0,0,0,0,0,1,0,0,0,0,0,8.136402,4.9218745,6.478903,0.42616034,0.48792613,0.25105485,0.4431818
