Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-03-01 21:28:20,1,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,10.010965,10.000004,0.46835482,0.5232068,0.76420456,0.51054853,0.67329544
2025-03-01 21:28:26,1,1,Caelan McSweeney,Luca Harwood,0,0,0,0,0,0,0,0,0,0,0,20.965378,19.296873,-8.196203,0.51054853,0.67329544,0.7320675,0.4978693
2025-03-01 21:28:32,1,1,Luca Harwood,Carter Hawkins,0,0,0,0,0,0,0,0,1,0,0,8.140605,-7.343751,3.512659,0.7320675,0.4978693,0.6371308,0.5646307
2025-03-01 21:28:33,1,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,1,0,0,0,13.215096,-0.7812476,13.191983,0.6371308,0.5646307,0.2805907,0.57173294
2025-03-01 21:28:38,1,1,Caelan McSweeney,Roan Dunkerley,0,0,0,0,0,0,0,0,0,0,0,13.125229,13.124997,-0.07805914,0.2805907,0.57173294,0.28270042,0.45241478
2025-03-01 21:28:40,1,1,Roan Dunkerley,Carter Hawkins,0,0,0,0,0,0,0,0,1,0,0,9.471538,-8.046875,-4.9957805,0.28270042,0.45241478,0.4177215,0.5255682
2025-03-01 21:28:43,1,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,14.3591795,11.015627,-9.210972,0.4177215,0.5255682,0.6666667,0.42542613
2025-03-01 21:28:45,1,1,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,9.088865,5.4687495,7.2594943,0.6666667,0.42542613,0.47046414,0.37571022
2025-03-01 21:28:48,1,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,10.718206,3.6718755,-10.069621,0.47046414,0.37571022,0.74261606,0.34232953
2025-03-01 21:28:50,1,1,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,11.7855,5.8593736,10.2257395,0.74261606,0.34232953,0.46624473,0.2890625
2025-03-01 21:28:52,1,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,1,0,0,5.333107,-5.3125014,0.46835482,0.46624473,0.2890625,0.4535865,0.33735797
2025-03-01 21:28:58,1,1,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,9.924579,0.4687512,-9.913503,0.4535865,0.33735797,0.721519,0.3330966
2025-03-01 21:29:14,1,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,1,0,0,0,0,0,6.471734,5.625001,-3.2004223,0.721519,0.3330966,0.8080169,0.28196022
2025-03-01 21:29:19,1,1,Caelan McSweeney,Griffin Gee,0,0,0,1,1,0,0,0,0,0,0,14.297726,14.296874,0.15611827,0.8080169,0.28196022,0.8037975,0.15198864
2025-03-01 21:35:11,3,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,7.299761,3.9062448,6.166665,0.6118143,0.73153406,0.4451477,0.69602275
2025-03-01 21:35:16,3,1,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,7.6365886,4.609378,-6.088606,0.4451477,0.69602275,0.6097046,0.6541193
2025-03-01 21:35:22,3,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,1,0,0,6.2819576,-6.171873,1.1708848,0.6097046,0.6541193,0.5780591,0.71022725
2025-03-01 21:35:36,3,1,Caelan McSweeney,Griffin Gee,0,0,0,0,0,0,0,0,0,0,1,19.859077,15.312495,-12.645569,0.5780591,0.71022725,0.9198312,0.57102275
2025-03-01 21:35:48,3,1,Griffin Gee,Roan Dunkerley,0,0,0,0,0,0,0,0,0,1,1,12.814641,12.812501,0.23417741,0.9198312,0.57102275,0.9135021,0.45454547
2025-03-01 21:36:13,3,1,Roan Dunkerley,,1,1,0,0,0,0,0,0,0,1,0,13.352949,7.8906264,10.772152,0.9135021,0.45454547,0.62236285,0.3828125
2025-03-01 21:36:37,3,2,Carter Hawkins,Luca Harwood,0,0,0,0,0,0,0,0,0,1,1,15.721931,15.468753,2.8101268,1.0,0.51420456,0.9240506,0.37357953
2025-03-01 21:36:49,3,2,Luca Harwood,Carter Hawkins,0,0,0,0,0,1,0,0,0,1,0,9.076661,7.5781236,4.9957805,0.9240506,0.37357953,0.78902954,0.3046875
