Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-02-01 13:31:24,1,1,Nadav Berkman,Artie Aucoin,0,0,0,0,0,0,0,0,1,1,0,18.158258,-11.406244,14.128693,0.943038,0.58096594,0.5611814,0.68465906
2025-02-01 13:31:28,1,1,Artie Aucoin,Calan Kirkpatrick,0,0,0,0,0,0,0,1,0,0,1,16.24301,3.2031245,15.92405,0.5611814,0.68465906,0.1308017,0.65553975
2025-02-01 13:31:31,1,1,Calan Kirkpatrick,Artie Aucoin,0,0,0,0,0,0,0,0,0,1,0,10.8456955,4.2187476,-9.991561,0.1308017,0.65553975,0.4008439,0.6171875
2025-02-01 13:31:35,1,1,Artie Aucoin,Nadav Berkman,0,0,0,0,0,0,0,1,0,0,0,15.883693,1.0937506,-15.84599,0.4008439,0.6171875,0.8291139,0.6072443
2025-02-01 13:31:39,1,1,Nadav Berkman,Toby Paperno,0,0,0,0,0,0,0,0,0,0,0,17.31242,14.609375,9.289028,0.8291139,0.6072443,0.5780591,0.4744318
2025-02-01 13:31:42,1,1,Toby Paperno,Nima Lhamo,0,0,0,0,0,0,0,0,0,0,0,10.967774,8.90625,6.4008436,0.5780591,0.4744318,0.4050633,0.3934659
2025-02-01 13:31:47,1,1,Nima Lhamo,Artie Aucoin,0,0,0,0,0,0,0,0,0,0,0,7.9669585,7.812499,1.5611817,0.4050633,0.3934659,0.3628692,0.3224432
2025-02-01 13:31:50,1,1,Artie Aucoin,Nima Lhamo,0,0,0,0,0,0,0,0,0,0,1,8.683869,3.281252,8.040085,0.3628692,0.3224432,0.14556962,0.29261363
2025-02-01 13:31:56,1,1,Nima Lhamo,Artie Aucoin,1,1,0,0,0,0,0,1,0,1,0,13.895965,-1.4843776,-13.816456,0.14556962,0.29261363,0.51898736,0.30610797
2025-02-01 13:32:43,1,2,Artie Aucoin,Nadav Berkman,0,0,0,0,0,0,0,1,0,0,0,15.255364,1.0156232,15.221519,0.8101266,0.5823864,0.39873418,0.57315344
2025-02-01 13:32:46,1,2,Nadav Berkman,Taylor Hanson,0,0,0,0,0,0,0,0,0,0,1,16.688866,11.328127,12.255275,0.39873418,0.57315344,0.067510545,0.47017047
2025-02-01 13:32:52,1,2,Taylor Hanson,,1,1,0,1,0,0,1,0,0,1,0,46.150326,37.421875,-27.00844,0.067510545,0.47017047,0.79746836,0.1299716
2025-02-01 13:35:30,2,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,8.864239,2.9687488,-8.352321,0.16455697,0.6832386,0.39029536,0.65625
2025-02-01 13:35:33,2,1,Caelan McSweeney,Luca Harwood,0,0,0,0,0,0,0,0,0,0,1,15.350995,10.859372,10.850211,0.39029536,0.65625,0.09704641,0.55752844
2025-02-01 13:35:37,2,1,Luca Harwood,Roan Dunkerley,0,0,0,0,0,0,0,0,0,1,1,16.125713,16.093752,1.014768,0.09704641,0.55752844,0.06962025,0.4112216
2025-02-01 13:35:49,2,1,Roan Dunkerley,Luca Harwood,0,0,0,0,0,0,0,0,0,1,0,10.197186,4.374999,-9.210971,0.06962025,0.4112216,0.3185654,0.37144887
2025-02-01 13:35:53,2,1,Luca Harwood,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,9.762661,7.8125024,5.85443,0.3185654,0.37144887,0.16033755,0.30042613
2025-02-01 13:35:58,2,1,Caelan McSweeney,Luca Harwood,0,0,0,0,0,1,0,1,0,0,1,26.249163,3.0468729,-26.07173,0.16033755,0.30042613,0.8649789,0.27272728
2025-02-01 13:36:00,2,1,Luca Harwood,Griffin Gee,0,0,0,1,1,0,0,0,0,1,0,14.825137,14.765627,1.3270054,0.8649789,0.27272728,0.8291139,0.13849431
