Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-03-01 13:31:48,1,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,11.817775,11.796874,0.7025311,0.42405063,0.8160511,0.4050633,0.7088068
2025-03-01 13:31:49,1,1,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,9.762661,7.8125024,5.8544307,0.4050633,0.7088068,0.24683544,0.63778406
2025-03-01 13:31:51,1,1,Carter Hawkins,Luca Harwood,0,0,0,0,0,0,0,0,1,0,0,8.239042,-1.4062536,-8.118144,0.24683544,0.63778406,0.46624473,0.6505682
2025-03-01 13:31:57,1,1,Luca Harwood,,1,1,0,1,0,0,1,0,0,0,0,56.959366,56.71875,-5.2299566,0.46624473,0.6505682,0.6075949,0.13494319
2025-03-01 13:34:55,2,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,1,0,12.605461,6.7968726,10.616034,0.9156118,0.8359375,0.628692,0.77414775
2025-03-01 13:34:59,2,1,Caelan McSweeney,Luca Harwood,0,0,0,0,0,0,0,1,0,0,1,18.930128,2.1093802,18.812237,0.628692,0.77414775,0.12025317,0.75497156
2025-03-01 13:35:09,2,1,Luca Harwood,Griffin Gee,0,0,0,0,0,0,0,0,0,1,0,16.553802,9.999997,-13.191983,0.12025317,0.75497156,0.47679326,0.6640625
2025-03-01 13:35:13,2,1,Griffin Gee,Luca Harwood,0,0,0,0,0,0,0,1,0,0,0,12.812486,3.9843721,-12.177216,0.47679326,0.6640625,0.8059072,0.62784094
2025-03-01 13:35:19,2,1,Luca Harwood,Gavin Abrahamson,0,0,0,0,0,0,0,0,0,0,0,13.862059,13.04688,4.683546,0.8059072,0.62784094,0.67932487,0.50923294
2025-03-01 13:35:23,2,1,Gavin Abrahamson,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,13.486058,11.953123,-6.2447267,0.67932487,0.50923294,0.84810126,0.4005682
2025-03-01 13:35:29,2,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,1,8.135607,7.9687505,-1.6392419,0.84810126,0.4005682,0.8924051,0.328125
2025-03-01 13:35:31,2,1,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,0,0,1,0,8.741831,1.640626,8.586498,0.8924051,0.328125,0.66033757,0.31321022
2025-03-01 13:35:34,2,1,Carter Hawkins,Luca Harwood,0,0,0,0,0,0,0,1,0,0,0,14.835244,3.0468729,14.518989,0.66033757,0.31321022,0.26793247,0.28551137
2025-03-01 13:35:39,2,1,Luca Harwood,Caelan McSweeney,0,0,0,0,0,1,0,1,0,0,0,13.809574,6.796876,-12.021098,0.26793247,0.28551137,0.592827,0.2237216
2025-03-01 13:35:43,2,1,Caelan McSweeney,Gavin Abrahamson,0,0,0,1,1,0,0,0,0,0,0,13.357183,10.546876,-8.196203,0.592827,0.2237216,0.814346,0.1278409
2025-03-01 13:38:34,3,1,Leo Narbonne,Artie Aucoin,0,0,0,0,0,0,0,0,0,0,0,10.719276,6.718752,8.352321,0.4092827,0.40553978,0.18354431,0.34446022
2025-03-01 13:38:40,3,1,Artie Aucoin,Mason Stone,0,0,0,0,0,0,0,0,0,0,0,5.095446,0.4687479,-5.0738397,0.18354431,0.34446022,0.3206751,0.34019887
2025-03-01 13:38:41,3,1,Mason Stone,Artie Aucoin,0,0,0,0,0,0,0,0,1,0,0,6.750863,-4.453123,-5.0738397,0.3206751,0.34019887,0.4578059,0.3806818
2025-03-01 13:38:42,3,1,Artie Aucoin,Mason Stone,0,0,0,0,0,0,0,0,0,0,0,4.419342,4.374999,-0.6244731,0.4578059,0.3806818,0.47468355,0.3409091
2025-03-01 13:38:46,3,1,Mason Stone,Calan Kirkpatrick,0,0,0,0,0,1,0,1,0,0,0,14.53781,5.937501,-13.270041,0.47468355,0.3409091,0.8333333,0.2869318
2025-03-01 13:38:49,3,1,Calan Kirkpatrick,Mason Stone,0,0,0,1,1,0,0,0,0,0,0,15.590865,14.687499,5.2299576,0.8333333,0.2869318,0.6919831,0.1534091
2025-03-01 13:44:29,5,1,Caelan McSweeney,Shiff Burt,0,0,0,0,0,0,0,0,0,0,0,9.553068,6.718745,6.7911396,0.47046414,0.62428975,0.28691983,0.56321025
2025-03-01 13:44:31,5,1,Shiff Burt,Caelan McSweeney,0,0,0,0,0,0,0,0,1,0,0,6.1412044,-4.0624995,-4.6054845,0.28691983,0.56321025,0.4113924,0.60014206
2025-03-01 13:44:34,5,1,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,0,1,0,0,11.18616,-3.2812452,-10.694093,0.4113924,0.60014206,0.7004219,0.62997156
2025-03-01 13:44:37,5,1,Carter Hawkins,Roan Dunkerley,0,0,0,0,0,0,0,0,0,0,1,9.35708,7.421872,-5.6983128,0.7004219,0.62997156,0.8544304,0.5625
2025-03-01 13:44:40,5,1,Roan Dunkerley,Carter Hawkins,0,0,0,0,0,0,0,0,0,1,0,8.39291,1.406247,8.274261,0.8544304,0.5625,0.6308017,0.54971594
2025-03-01 13:44:45,5,1,Carter Hawkins,Shiff Burt,0,0,0,0,0,0,0,0,0,0,0,10.770691,9.843752,4.3713074,0.6308017,0.54971594,0.51265824,0.46022728
2025-03-01 13:44:47,5,1,Shiff Burt,Roan Dunkerley,0,0,0,0,0,0,0,1,0,0,1,14.036328,3.8281271,-13.50422,0.51265824,0.46022728,0.87763715,0.42542613
