Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-03-01 11:31:43,1,1,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,12.67127,6.7968726,10.694093,0.48734176,0.61647725,0.19831224,0.5546875
2025-03-01 11:31:46,1,1,Carter Hawkins,Roan Dunkerley,0,0,0,0,0,0,0,0,0,0,1,8.082374,7.5781236,2.8101268,0.19831224,0.5546875,0.12236287,0.48579547
2025-03-01 11:31:49,1,1,Roan Dunkerley,Carter Hawkins,0,0,0,0,0,0,0,0,0,1,1,4.625872,4.609378,0.39029542,0.12236287,0.48579547,0.11181434,0.44389203
2025-03-01 11:31:51,1,1,Carter Hawkins,Roan Dunkerley,1,0,1,0,0,0,0,0,0,1,1,13.7641735,13.75,0.62447256,0.11181434,0.44389203,0.094936706,0.31889203
2025-03-01 11:33:07,1,2,Caelan McSweeney,Carter Hawkins,0,0,0,0,0,0,0,1,0,1,0,13.908565,-0.6249994,-13.894515,0.09704641,0.77485794,0.47257385,0.78053975
2025-03-01 11:33:11,1,2,Carter Hawkins,Roan Dunkerley,0,0,0,0,0,0,0,1,0,0,0,12.499484,2.0312464,-12.333334,0.47257385,0.78053975,0.8059072,0.7620739
2025-03-01 11:33:14,1,2,Roan Dunkerley,Gavin Abrahamson,0,0,0,0,0,0,0,0,0,0,0,13.829008,13.828127,-0.15611827,0.8059072,0.7620739,0.8101266,0.6363636
2025-03-01 11:33:17,1,2,Gavin Abrahamson,Ethan Lieman,0,0,0,0,0,0,0,0,0,0,0,10.482999,10.468748,0.54641396,0.8101266,0.6363636,0.79535866,0.5411932
2025-03-01 11:33:21,1,2,Ethan Lieman,Carter Hawkins,0,0,0,0,0,0,0,0,1,0,0,9.428852,-2.3437495,9.132913,0.79535866,0.5411932,0.5485232,0.5625
2025-03-01 11:33:25,1,2,Carter Hawkins,Gavin Abrahamson,1,1,0,1,0,0,1,0,0,0,0,51.152054,50.859375,5.464134,0.5485232,0.5625,0.4008439,0.10014205
2025-03-01 11:35:03,1,3,Roan Dunkerley,Griffin Gee,0,0,0,0,0,0,0,0,0,0,0,12.915684,10.937503,-6.8691998,0.628692,0.56889206,0.814346,0.46946022
2025-03-01 11:35:06,1,3,Griffin Gee,Ethan Lieman,0,0,0,0,0,0,0,0,0,0,0,12.821055,12.812498,-0.46835262,0.814346,0.46946022,0.8270042,0.35298297
2025-03-01 11:35:10,1,3,Ethan Lieman,Griffin Gee,0,0,0,0,0,0,0,1,0,0,0,12.333333,0.0,12.333333,0.8270042,0.35298297,0.49367088,0.35298297
2025-03-01 11:35:16,1,3,Griffin Gee,Caelan McSweeney,0,0,0,0,0,1,0,0,1,0,0,6.6428013,-2.656249,-6.0886083,0.49367088,0.35298297,0.65822786,0.3771307
2025-03-01 11:35:18,1,3,Caelan McSweeney,Ethan Lieman,0,0,0,1,1,0,0,0,0,0,0,21.273817,20.3125,6.322786,0.65822786,0.3771307,0.48734176,0.1924716
2025-03-01 11:38:42,3,1,Shiff Burt,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,11.167515,7.4999995,-8.274261,0.2721519,0.71946025,0.4957806,0.65127844
2025-03-01 11:38:46,3,1,Caelan McSweeney,Griffin Gee,0,0,0,0,0,0,0,1,0,0,0,12.709198,5.625001,-11.3966255,0.4957806,0.65127844,0.8037975,0.60014206
2025-03-01 11:38:52,3,1,Griffin Gee,,1,1,0,0,0,0,0,0,0,0,1,22.717657,22.03125,-5.5421944,0.8037975,0.60014206,0.9535865,0.39985797
2025-03-01 11:41:01,4,1,Caelan McSweeney,Shiff Burt,0,0,0,0,0,0,0,1,0,0,1,14.900438,3.6718755,14.4409275,0.48312235,0.61789775,0.09282701,0.58451706
2025-03-01 11:41:05,4,1,Shiff Burt,Gavin Abrahamson,0,0,0,0,0,0,0,0,0,1,0,12.168308,9.765628,-7.259494,0.09282701,0.58451706,0.28902954,0.49573863
2025-03-01 11:41:12,4,1,Gavin Abrahamson,Ian Buchanon,0,0,0,0,0,0,0,1,0,0,0,19.905676,0.15624821,-19.905062,0.28902954,0.49573863,0.8270042,0.4943182
2025-03-01 11:41:14,4,1,Ian Buchanon,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,1,10.724216,10.390624,-2.6540084,0.8270042,0.4943182,0.89873415,0.39985797
2025-03-01 11:41:18,4,1,Carter Hawkins,Ian Buchanon,0,0,0,0,0,0,0,1,0,1,0,13.206589,-5.4687495,12.021096,0.89873415,0.39985797,0.57383966,0.44957387
2025-03-01 11:41:21,4,1,Ian Buchanon,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,7.7878957,7.578127,-1.795358,0.57383966,0.44957387,0.62236285,0.3806818
2025-03-01 11:41:25,4,1,Carter Hawkins,,1,1,0,0,0,0,0,0,0,0,0,18.109287,11.328123,14.128691,0.62236285,0.3806818,0.24050634,0.27769887
2025-03-01 11:42:01,4,2,Carter Hawkins,,1,1,0,0,0,0,1,0,0,1,1,37.714165,37.578125,3.2004223,1.0,0.77485794,0.9135021,0.43323863
2025-03-01 11:42:36,4,3,Caelan McSweeney,Gavin Abrahamson,0,0,0,0,0,0,0,0,0,0,0,30.824442,30.703127,-2.7320664,0.46624473,0.53764206,0.54008436,0.25852272
2025-03-01 11:42:44,4,3,Gavin Abrahamson,Caelan McSweeney,0,0,0,0,0,1,0,0,1,0,0,9.430722,-2.8906248,8.976792,0.54008436,0.25852272,0.29746836,0.28480113
2025-03-01 11:42:50,4,3,Caelan McSweeney,Gavin Abrahamson,0,0,0,1,1,0,0,0,0,0,0,13.44166,12.656249,4.5274267,0.29746836,0.28480113,0.17510548,0.16974431
2025-03-01 11:47:34,6,1,Carter Hawkins,,1,1,0,1,0,0,1,0,0,1,1,51.229057,51.171875,-2.419831,0.93459916,0.6036932,1.0,0.13849431
2025-03-01 11:49:41,7,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,12.85608,11.562506,-5.620253,0.19831224,0.83664775,0.35021096,0.73153406
2025-03-01 11:49:48,7,1,Caelan McSweeney,Shiff Burt,0,0,0,0,0,0,0,0,0,0,0,6.6515584,0.46874464,6.635021,0.35021096,0.73153406,0.17088607,0.72727275
2025-03-01 11:49:51,7,1,Shiff Burt,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,1,8.380955,8.203126,1.7172993,0.17088607,0.72727275,0.12447257,0.6526989
2025-03-01 11:49:55,7,1,Carter Hawkins,Griffin Gee,0,0,0,0,0,0,0,0,0,1,0,11.000314,8.124999,-7.4156117,0.12447257,0.6526989,0.32489452,0.57883525
2025-03-01 11:49:58,7,1,Griffin Gee,Luca Harwood,0,0,0,0,0,0,0,0,0,0,0,14.208985,13.359376,4.8396626,0.32489452,0.57883525,0.19409283,0.45738637
2025-03-01 11:50:13,7,1,Luca Harwood,,1,1,0,1,0,0,1,0,0,0,0,39.388073,39.375,-1.0147682,0.19409283,0.45738637,0.221519,0.09943182
2025-03-01 11:52:19,7,2,Luca Harwood,Griffin Gee,0,0,0,0,0,0,0,0,0,0,0,13.583974,9.609373,9.601265,0.84388185,0.7691761,0.5843882,0.6818182
2025-03-01 11:52:22,7,2,Griffin Gee,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,10.919018,8.671877,6.635021,0.5843882,0.6818182,0.4050633,0.60298294
2025-03-01 11:52:28,7,2,Caelan McSweeney,,1,1,0,1,0,0,1,0,0,0,0,51.81593,51.796875,1.4050634,0.4050633,0.60298294,0.36708862,0.13210227
2025-03-01 11:53:49,7,3,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,13.314247,13.281256,0.93670857,0.3227848,0.76633525,0.29746836,0.64559656
2025-03-01 11:53:52,7,3,Caelan McSweeney,Mason Stone,0,0,0,0,0,1,0,0,0,0,0,23.453081,12.890625,-19.592825,0.29746836,0.64559656,0.8270042,0.52840906
2025-03-01 11:53:58,7,3,Mason Stone,Roan Dunkerley,0,0,0,1,1,0,1,0,0,0,0,42.87139,42.265625,7.181434,0.8270042,0.52840906,0.6329114,0.14417614
