Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-03-02 12:00:47,1,1,Carter Hawkins,Griffin Gee,0,0,0,0,0,0,0,1,0,1,0,16.274055,-5.546874,-15.299578,0.040084388,0.5113636,0.4535865,0.56178975
2025-03-02 12:00:50,1,1,Griffin Gee,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,12.1188545,7.187496,9.757383,0.4535865,0.56178975,0.18987341,0.49644887
2025-03-02 12:00:59,1,1,Carter Hawkins,Luca Harwood,0,0,0,0,0,0,0,1,0,0,0,12.15052,-3.5156207,-11.630802,0.18987341,0.49644887,0.5042194,0.52840906
2025-03-02 12:01:03,1,1,Luca Harwood,Roan Dunkerley,0,0,0,0,0,0,0,1,0,0,0,12.426429,4.3749957,-11.630802,0.5042194,0.52840906,0.8185654,0.48863637
2025-03-02 12:01:06,1,1,Roan Dunkerley,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,1,8.993605,8.828126,-1.7172987,0.8185654,0.48863637,0.8649789,0.4083807
2025-03-02 12:01:10,1,1,Caelan McSweeney,Griffin Gee,0,0,0,0,0,0,0,0,0,1,0,24.094103,11.093751,21.388186,0.8649789,0.4083807,0.28691983,0.3075284
2025-03-02 12:01:18,1,1,Griffin Gee,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,1,9.236263,3.593748,8.508439,0.28691983,0.3075284,0.056962024,0.27485797
2025-03-02 12:01:25,1,1,Carter Hawkins,Luca Harwood,0,0,0,0,0,0,0,1,0,1,0,12.302398,-4.9999986,-11.240507,0.056962024,0.27485797,0.3607595,0.3203125
2025-03-02 12:01:27,1,1,Luca Harwood,Carter Hawkins,0,0,0,0,0,0,0,0,0,0,0,10.057743,5.937501,-8.118144,0.3607595,0.3203125,0.5801688,0.26633522
2025-03-02 12:01:32,1,1,Carter Hawkins,Luca Harwood,0,0,0,0,0,0,0,1,0,0,0,13.428206,-0.2343756,13.426161,0.5801688,0.26633522,0.21729958,0.2684659
