Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-02-01 17:50:04,1,1,Carter Hawkins,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,13.984593,13.984376,0.07805914,0.5611814,0.88210225,0.5590717,0.75497156
2025-02-01 17:50:06,1,1,Caelan McSweeney,Luca Harwood,0,0,0,0,0,1,0,0,0,0,0,13.054629,12.656249,-3.2004223,0.5590717,0.75497156,0.6455696,0.63991475
2025-02-01 17:50:22,1,1,Luca Harwood,Ethan Lieman,0,0,0,1,1,0,1,0,0,0,0,57.73696,57.734375,0.54641396,0.6455696,0.63991475,0.6308017,0.11505682
2025-02-01 17:53:35,3,1,Shiff Burt,Caelan McSweeney,0,0,0,0,0,0,0,0,0,0,0,17.032192,16.953125,-1.6392397,0.5274262,0.87997156,0.57172996,0.72585225
2025-02-01 17:53:38,3,1,Caelan McSweeney,Luca Harwood,0,0,0,0,0,0,0,0,0,0,0,16.925508,11.249996,12.645569,0.57172996,0.72585225,0.2299578,0.62357956
2025-02-01 17:53:43,3,1,Luca Harwood,Roan Dunkerley,0,0,0,0,0,0,0,0,0,0,1,20.0094,19.609377,3.9810126,0.2299578,0.62357956,0.12236287,0.4453125
2025-02-01 17:54:06,3,1,Roan Dunkerley,Gavin Abrahamson,0,0,0,0,0,0,0,0,0,1,0,17.936998,14.999999,-9.835443,0.12236287,0.4453125,0.38818565,0.30894887
2025-02-01 17:54:10,3,1,Gavin Abrahamson,Caelan McSweeney,0,0,0,0,0,0,0,0,1,0,0,8.92794,-8.59375,-2.419831,0.38818565,0.30894887,0.4535865,0.38707387
2025-02-01 17:54:20,3,1,Caelan McSweeney,Gavin Abrahamson,1,1,0,1,0,0,0,0,0,0,0,35.26384,32.34375,-14.050632,0.4535865,0.38707387,0.8333333,0.09303977
2025-02-01 17:57:14,3,2,Luca Harwood,Gavin Abrahamson,0,0,0,0,0,0,0,0,0,0,0,16.57134,11.406251,-12.021096,0.52109706,0.63423294,0.84599155,0.53053975
