Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-01-31 11:42:49,1,1,Griffin Gee,Caelan McSweeney,0,0,0,0,0,0,0,0,1,1,0,9.554421,-3.6718755,-8.820675,0.067510545,0.78125,0.30590716,0.8146307
2025-01-31 11:44:26,1,1,Caelan McSweeney,,1,0,1,0,0,0,0,1,0,0,0,14.554467,1.0156232,-14.518988,0.30590716,0.8146307,0.6983122,0.80539775
2025-01-31 11:46:02,2,1,Caelan McSweeney,Ian Buchanon,0,0,0,1,1,0,0,0,0,0,0,19.945936,19.6875,3.2004223,0.407173,0.32670453,0.3206751,0.14772727
2025-01-31 11:48:16,3,1,,,1,1,0,0,0,0,1,0,0,1,1,59.052826,48.906254,-33.097046,0.10548523,0.70596594,1.0,0.26136363
2025-01-31 11:49:47,3,2,Artie Aucoin,Nima Lhamo,0,0,0,0,0,0,0,0,0,0,0,18.692003,16.5625,8.664557,0.46624473,0.72798294,0.23206751,0.57741475
2025-01-31 11:49:51,3,2,Nima Lhamo,Artie Aucoin,0,0,0,0,0,0,0,0,0,0,0,7.8639326,7.6562476,-1.7953585,0.23206751,0.57741475,0.2805907,0.5078125
2025-01-31 11:49:57,3,2,Artie Aucoin,Toby Paperno,0,0,0,0,0,0,0,1,0,0,0,15.367631,-5.859377,-14.206752,0.2805907,0.5078125,0.664557,0.56107956
2025-01-31 11:50:05,3,2,Toby Paperno,Artie Aucoin,0,0,0,0,0,0,0,0,0,0,0,8.623953,6.796876,5.308017,0.664557,0.56107956,0.52109706,0.49928978
2025-01-31 11:50:20,3,2,Artie Aucoin,Taylor Hanson,0,0,0,0,0,0,0,1,0,0,0,14.555859,7.343751,12.567512,0.52109706,0.49928978,0.1814346,0.4325284
2025-01-31 11:50:22,3,2,Taylor Hanson,,0,0,0,0,0,0,0,0,0,0,0,6.2747855,5.937501,-2.029536,0.1814346,0.4325284,0.23628692,0.37855113
2025-01-31 11:50:30,3,2,,,1,0,1,0,0,0,0,0,0,0,1,9.560108,8.828122,3.6687768,0.23628692,0.37855113,0.1371308,0.29829547
2025-01-31 11:51:14,3,3,,Toby Paperno,0,0,0,0,0,0,0,0,1,0,0,18.991663,-14.374999,12.411392,0.62025315,0.62571025,0.28481013,0.75639206
2025-01-31 11:51:22,3,3,Toby Paperno,Sam Green,0,0,0,0,0,0,0,1,0,0,0,15.349261,7.578127,-13.348102,0.28481013,0.75639206,0.6455696,0.6875
2025-01-31 11:53:39,3,3,Sam Green,,1,0,1,0,0,0,0,0,0,0,0,12.802559,12.265626,-3.6687772,0.6455696,0.6875,0.74472576,0.5759943
2025-01-31 11:53:59,4,1,Mason Stone,Shiff Burt,0,0,0,1,1,0,1,0,0,0,0,60.23686,60.23438,0.54641396,0.79535866,0.72940344,0.7805907,0.18181819
2025-01-31 11:56:36,5,1,Calan Kirkpatrick,Charlie Leightheiser,0,0,0,0,0,0,0,1,0,1,0,14.144644,6.015625,-12.801687,0.09282701,0.76491475,0.43881857,0.71022725
2025-01-31 11:56:41,5,1,Charlie Leightheiser,Taylor Hanson,0,0,0,0,0,0,0,0,0,0,0,22.855556,17.1875,-15.0654,0.43881857,0.71022725,0.84599155,0.55397725
2025-01-31 11:56:43,5,1,Taylor Hanson,,0,0,0,0,0,0,0,0,0,0,0,19.108583,17.031248,8.664557,0.84599155,0.55397725,0.6118143,0.39914772
2025-01-31 11:56:48,5,1,,Roan Dunkerley,0,0,0,0,0,0,0,1,0,0,0,15.98069,-4.0624995,15.455696,0.6118143,0.39914772,0.19409283,0.43607953
2025-01-31 11:56:51,5,1,Roan Dunkerley,,1,1,0,1,0,0,0,0,0,0,0,35.89777,34.21875,-10.850211,0.19409283,0.43607953,0.48734176,0.125
2025-01-31 11:58:36,5,2,Charlie Leightheiser,Mason Stone,0,0,0,0,0,0,0,0,0,0,0,13.624288,13.515624,-1.7172987,0.221519,0.75852275,0.26793247,0.63565344
2025-01-31 11:58:42,5,2,Mason Stone,,1,1,0,0,0,0,0,0,0,0,0,36.74467,33.98438,-13.972574,0.26793247,0.63565344,0.6455696,0.32670453
2025-01-31 11:59:32,5,3,Taylor Hanson,Mason Stone,0,0,0,0,0,0,0,0,0,0,0,9.36839,0.15624821,9.367087,0.5485232,0.7535511,0.29535866,0.7521307
2025-01-31 11:59:36,5,3,Mason Stone,Taylor Hanson,0,0,0,0,0,0,0,0,1,0,0,10.377452,-10.234373,-1.7172987,0.29535866,0.7521307,0.34177214,0.84517044
2025-01-31 11:59:39,5,3,Taylor Hanson,Mason Stone,0,0,0,0,0,0,0,0,0,0,0,9.123811,3.6718755,-8.352321,0.34177214,0.84517044,0.56751055,0.81178975
2025-01-31 11:59:43,5,3,Mason Stone,Taylor Hanson,0,0,0,0,0,0,0,0,0,0,0,14.467484,10.234373,-10.225739,0.56751055,0.81178975,0.84388185,0.71875
