Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-03-02 08:01:48,1,1,Caelan McSweeney,Luca Harwood,0,0,0,0,0,0,0,0,0,0,0,15.772483,12.968746,8.976793,0.49156117,0.60653406,0.24894515,0.48863637
2025-03-02 08:01:53,1,1,Luca Harwood,Ethan Lieman,0,0,0,0,0,0,0,0,0,0,1,15.315991,14.531251,4.839662,0.24894515,0.48863637,0.11814346,0.3565341
2025-03-02 08:01:55,1,1,Ethan Lieman,Luca Harwood,0,0,0,0,0,0,0,0,0,1,0,8.841798,2.1093738,-8.586497,0.11814346,0.3565341,0.35021096,0.33735797
2025-03-02 08:01:59,1,1,Luca Harwood,Ethan Lieman,0,0,0,0,0,0,0,0,0,0,0,8.923398,5.078126,-7.337552,0.35021096,0.33735797,0.5485232,0.2911932
2025-03-02 08:02:01,1,1,Ethan Lieman,Luca Harwood,0,0,0,0,0,0,0,1,0,0,0,14.223626,1.640626,14.128691,0.5485232,0.2911932,0.16666667,0.2762784
2025-03-02 08:02:04,1,1,Luca Harwood,,1,1,0,1,0,0,0,0,0,0,0,20.912035,20.859375,-1.483122,0.16666667,0.2762784,0.20675105,0.08664773
2025-03-02 08:03:11,1,2,Caelan McSweeney,Roan Dunkerley,0,0,0,0,0,0,0,0,0,0,0,28.437927,28.4375,-0.15611827,0.78902954,0.5269886,0.79324895,0.2684659
2025-03-02 08:03:12,1,2,Roan Dunkerley,Griffin Gee,0,0,0,0,0,0,0,0,1,0,1,5.7067037,-4.9218745,-2.888186,0.79324895,0.2684659,0.871308,0.31321022
2025-03-02 08:03:36,1,2,Griffin Gee,Caelan McSweeney,0,0,0,0,0,1,0,0,0,1,1,6.7986655,6.7968726,0.15611827,0.871308,0.31321022,0.8670886,0.25142047
2025-03-02 08:03:37,1,2,Caelan McSweeney,Ethan Lieman,0,0,0,1,1,0,0,0,0,1,1,16.052866,16.015625,-1.0928257,0.8670886,0.25142047,0.89662445,0.10582387
