Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Gavin Abrahamson,14,"1,3,6,7,9,11,12,14,16,18,20,21,22,23",9,5,7,1,9,7,7,9,0,0,1,2,0,0,0,0,0,0,94.79,39.30,15.80,6.55,143.99,111.33,16.00,12.37
Luca Harwood,13,"1,3,5,6,7,9,10,11,14,16,19,21,23",11,2,8,1,12,7,10,11,1,1,0,2,1,0,1,0,0,0,129.92,92.50,12.99,9.25,186.75,94.61,16.98,8.60
Caelan McSweeney,13,"1,3,5,6,7,9,11,14,16,17,19,21,23",11,2,8,2,32,12,32,31,1,2,3,0,4,4,0,0,0,0,391.34,180.00,13.98,6.43,371.70,128.91,11.99,4.16
Carter Hawkins,12,"1,3,5,6,7,9,11,14,16,19,21,23",11,1,8,1,30,12,29,17,13,4,1,1,1,1,0,0,0,0,393.95,252.19,14.07,9.01,172.26,68.52,10.13,4.03
Roan Dunkerley,12,"1,3,6,7,9,11,14,15,19,20,21,23",10,2,8,0,11,9,11,10,1,2,0,0,0,0,0,1,0,0,191.89,144.30,17.44,13.12,170.76,130.23,17.08,13.02
Ethan Lieman,11,"1,5,6,7,11,14,16,17,19,22,23",8,3,5,2,13,8,11,12,1,1,1,2,0,0,0,1,0,0,141.66,73.44,14.17,7.34,195.04,141.95,16.25,11.83
Artie Aucoin,9,"2,4,5,6,8,12,13,17,20",2,7,0,1,8,4,8,6,2,0,1,0,0,0,0,0,0,0,93.17,43.28,13.31,6.18,53.03,-23.83,8.84,-3.97
Calan Kirkpatrick,9,"2,3,8,9,13,15,17,20,21",3,6,3,1,6,3,6,6,0,0,1,0,0,0,0,0,0,0,50.93,18.05,8.49,3.01,66.06,39.06,11.01,6.51
Sam Green,8,"2,4,8,12,13,17,18,20",0,8,0,1,2,1,1,2,0,0,0,1,0,0,0,0,0,0,6.03,-5.86,6.03,-5.86,38.04,24.45,19.02,12.23
Toby Paperno,8,"2,4,8,12,13,17,20,22",0,8,0,1,2,1,2,2,0,0,0,0,1,0,1,0,0,0,21.99,7.27,11.00,3.63,30.83,24.30,15.42,12.15
Taylor Hanson,8,"2,4,8,10,12,13,15,17",0,8,0,1,4,3,4,4,0,0,0,0,1,1,0,0,0,0,42.28,17.27,14.09,5.76,45.63,8.83,11.41,2.21
Shiff Burt,8,"3,5,9,14,16,19,21,22",6,2,5,1,6,4,4,6,0,0,0,2,0,0,0,0,0,0,46.71,-5.78,11.68,-1.45,105.86,92.50,17.64,15.42
Nima Lhamo,7,"2,8,13,15,18,20,22",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Griffin Gee,7,"1,7,11,16,18,19,23",5,2,4,1,6,5,6,6,0,0,2,0,0,0,0,0,0,0,64.20,17.97,10.70,2.99,80.99,23.75,13.50,3.96
Leo Narbonne,5,"4,8,10,12,22",0,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6.09,4.92,6.09,4.92,14.46,12.50,14.46,12.50
Tomo Liou,5,"4,10,12,15,22",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nadav Berkman,4,"2,5,13,18",1,3,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,12.26,8.44,12.26,8.44
Wes K-H,3,"10,15,18",0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.89,-1.64,9.89,-1.64,14.94,7.58,14.94,7.58
Charlie Leightheiser,3,"10,15,18",0,3,0,0,3,2,3,1,2,0,0,0,2,1,1,0,0,0,28.73,6.48,14.37,3.24,9.89,-1.64,9.89,-1.64
Jonathan Coombs,2,"4,10",0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,14.94,7.58,14.94,7.58,18.45,16.25,18.45,16.25
