Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Roan Dunkerley,16,"1,3,4,8,9,10,11,13,15,18,19,21,24,25,27,28",13,3,9,0,8,6,7,8,0,0,1,1,0,0,0,0,0,0,82.95,37.03,11.85,5.29,111.84,78.83,13.98,9.85
Carter Hawkins,15,"1,3,4,8,10,11,12,13,15,16,19,21,24,25,28",13,2,9,1,34,14,33,26,8,4,0,1,1,1,0,0,0,0,389.48,193.52,12.17,6.05,288.58,122.89,11.10,4.73
Caelan McSweeney,14,"1,3,4,8,10,11,12,13,15,19,21,24,25,28",13,1,9,0,34,13,34,29,5,1,6,0,1,1,0,0,0,0,406.06,161.72,12.30,4.90,307.13,84.37,10.59,2.91
Gavin Abrahamson,14,"1,4,6,8,11,13,15,17,19,20,23,24,25,28",10,4,8,2,15,10,10,15,0,0,1,5,0,0,0,0,0,0,123.86,59.45,12.39,5.95,317.68,246.41,21.18,16.43
Luca Harwood,13,"1,3,4,8,10,11,13,15,19,21,24,25,28",13,0,9,0,11,8,10,11,0,3,0,1,0,0,0,0,0,0,209.28,159.06,20.93,15.91,141.93,8.83,12.90,0.80
Mason Stone,13,"2,3,6,9,10,14,18,21,22,23,24,26,27",5,8,2,2,9,6,9,8,1,1,0,0,1,1,0,1,0,0,112.19,42.81,14.02,5.35,102.07,35.31,12.76,4.41
Griffin Gee,12,"1,3,6,8,10,13,16,19,21,23,25,28",9,3,6,2,12,7,11,11,1,0,0,1,0,0,0,1,0,0,106.74,19.92,9.70,1.81,130.97,81.17,11.91,7.38
Shiff Burt,11,"3,4,5,10,11,15,16,21,24,25,28",9,2,5,2,16,7,15,15,1,0,0,1,1,1,0,1,0,0,146.10,32.81,10.44,2.34,198.29,48.36,13.22,3.22
Artie Aucoin,10,"2,5,12,14,16,17,20,22,26,27",1,9,1,4,30,5,30,28,2,3,2,0,2,2,0,0,0,0,354.17,125.70,12.65,4.49,293.61,90.86,10.49,3.24
Ethan Lieman,9,"1,4,5,8,9,11,13,15,19",7,2,7,1,18,6,17,18,0,3,1,1,0,0,0,0,0,0,222.87,125.55,13.11,7.39,198.00,66.95,11.00,3.72
Toby Paperno,9,"2,5,7,12,14,16,18,22,26",1,8,1,3,7,3,7,7,0,0,0,0,0,0,0,0,0,0,59.99,19.30,8.57,2.76,72.97,25.16,10.42,3.59
Leo Narbonne,9,"2,7,12,14,17,20,22,26,27",1,8,1,2,12,3,9,10,2,0,0,3,0,0,0,0,0,0,104.78,35.31,11.64,3.92,101.38,70.08,10.14,7.01
Sam Green,9,"2,6,7,9,12,14,22,23,26",1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Calan Kirkpatrick,8,"2,7,9,14,18,22,26,27",1,7,1,1,7,2,7,7,0,0,2,0,0,0,0,0,0,0,63.81,47.11,9.12,6.73,80.96,14.45,11.57,2.06
Nima Lhamo,8,"2,5,6,14,16,22,23,26",1,7,1,4,6,5,5,6,0,0,0,1,0,0,0,0,0,0,55.82,-1.80,11.16,-0.36,80.77,55.47,13.46,9.24
Tomo Liou,6,"5,9,17,18,20,27",0,6,0,2,2,1,2,2,0,0,1,0,0,0,0,1,0,0,15.27,3.44,7.63,1.72,18.32,6.02,9.16,3.01
Jonathan Coombs,5,"5,7,16,17,20",0,5,0,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,23.47,-14.61,7.82,-4.87,44.39,20.94,14.80,6.98
Nadav Berkman,5,"6,12,17,20,23",0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chaz Norris,4,"7,9,18,27",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Charlie Leightheiser,4,"6,7,18,23",0,4,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,9.76,0.08,9.76,0.08,11.63,2.66,11.63,2.66
Wes K-H,2,"17,20",0,2,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,13.90,12.34,13.90,12.34,0.00,0.00,0.00,0.00
