Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Caelan McSweeney,11,"1,3,7,9,11,12,13,14,16,18,20",9,2,7,1,39,10,38,35,4,3,1,1,2,2,0,0,0,0,451.82,188.12,12.55,5.23,315.70,172.11,9.02,4.92
Luca Harwood,9,"1,3,7,9,12,13,16,18,20",8,1,7,0,20,8,20,20,0,3,1,0,0,0,0,1,0,0,254.38,191.17,12.72,9.56,232.11,41.87,11.61,2.09
Gavin Abrahamson,9,"1,3,7,9,12,15,16,19,20",7,2,6,0,9,6,8,9,0,1,0,1,1,1,0,1,0,0,89.31,64.69,12.76,9.24,126.47,81.80,14.05,9.09
Roan Dunkerley,9,"1,3,7,9,10,12,14,16,20",7,2,6,1,6,5,4,6,0,0,1,2,0,0,0,0,0,0,45.30,-2.89,11.33,-0.72,112.18,99.77,18.70,16.63
Mason Stone,9,"4,5,8,10,11,15,17,18,21",3,6,2,1,4,3,4,4,0,0,1,0,0,0,0,0,0,0,40.34,11.64,10.09,2.91,38.06,33.75,9.52,8.44
Artie Aucoin,8,"2,4,5,8,13,14,17,21",1,7,1,2,11,6,11,6,5,1,1,0,2,2,0,0,0,0,99.74,59.77,11.08,6.64,72.05,39.22,12.01,6.54
Calan Kirkpatrick,8,"3,8,9,10,15,16,17,21",3,5,2,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,27.47,10.08,13.73,5.04,31.28,6.33,15.64,3.16
Ethan Lieman,8,"1,2,4,7,11,12,18,20",7,1,6,0,9,6,5,9,0,0,1,4,2,2,0,0,0,0,24.75,-6.09,8.25,-2.03,136.61,112.03,15.18,12.45
Shiff Burt,8,"2,3,4,9,11,14,16,18",6,2,4,1,13,6,13,11,2,1,2,0,1,1,0,0,0,0,131.09,97.27,10.92,8.11,118.34,46.41,10.76,4.22
Carter Hawkins,8,"1,4,7,11,12,13,18,20",7,1,6,0,13,6,13,8,5,0,2,0,0,0,0,0,0,0,147.08,70.08,11.31,5.39,75.02,15.86,9.38,1.98
Griffin Gee,8,"1,4,7,11,12,18,19,20",7,1,6,0,3,2,3,3,0,0,0,0,0,0,0,0,0,0,25.99,23.05,8.66,7.68,42.98,17.11,14.33,5.70
Taylor Hanson,6,"6,8,10,15,17,21",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sam Green,6,"5,8,13,17,19,21",0,6,0,1,2,2,1,2,0,0,0,1,0,0,0,2,0,0,12.70,-7.73,12.70,-7.73,48.70,48.67,24.35,24.34
Leo Narbonne,5,"2,5,6,13,14",0,5,0,2,4,3,4,4,0,1,0,0,0,0,0,0,0,0,72.58,66.09,18.15,16.52,49.36,18.91,12.34,4.73
Toby Paperno,5,"2,13,14,17,21",0,5,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0.00,0.00,0.00,0.00,12.22,11.41,12.22,11.41
Nima Lhamo,5,"2,8,14,17,19",0,5,0,1,6,3,5,6,0,0,0,1,1,1,0,0,0,0,43.36,14.38,10.84,3.59,81.63,25.00,13.61,4.17
Ian Buchanon,5,"3,5,6,9,16",3,2,2,1,9,2,9,8,1,0,0,0,0,0,0,0,0,0,73.72,10.16,8.19,1.13,81.30,25.55,10.16,3.19
Nadav Berkman,5,"4,8,11,19,21",2,3,1,0,5,3,5,0,5,0,0,0,2,2,0,0,0,0,33.67,6.09,11.22,2.03,0.00,0.00,0.00,0.00
Wes K-H,4,"6,10,15,19",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tomo Liou,4,"5,6,10,15",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Charlie Leightheiser,4,"6,10,15,19",0,4,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jonathan Coombs,3,"2,5,6",0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.91,3.83,12.91,3.83,12.20,3.91,12.20,3.91
