Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Mason Stone,11,"2,3,5,9,10,11,13,14,15,17,20",6,5,5,2,22,7,22,18,4,1,1,0,0,0,0,2,0,0,288.44,94.61,13.74,4.51,219.60,67.58,12.20,3.75
Shiff Burt,10,"1,3,4,5,7,9,11,12,17,20",9,1,8,0,16,9,14,15,1,1,0,2,2,2,0,0,0,0,128.38,67.66,10.70,5.64,208.97,93.20,13.93,6.21
Caelan McSweeney,10,"1,3,5,7,9,11,12,16,17,20",9,1,8,0,37,9,36,32,5,2,3,1,2,2,0,0,0,0,401.18,193.20,12.54,6.04,330.06,145.23,10.31,4.54
Carter Hawkins,10,"1,3,5,7,9,11,12,16,17,20",9,1,8,0,32,10,32,23,9,3,2,0,2,2,0,3,0,0,349.48,162.42,11.65,5.41,230.62,46.48,10.03,2.02
Griffin Gee,9,"1,3,7,9,11,12,13,17,20",8,1,7,0,6,5,4,5,1,1,0,2,0,0,0,0,0,0,61.28,42.27,15.32,10.57,83.18,69.06,16.64,13.81
Artie Aucoin,9,"2,4,6,10,14,15,16,18,19",0,9,0,3,30,6,29,21,9,0,2,1,1,0,1,0,0,0,357.81,151.80,12.34,5.23,211.70,32.34,10.08,1.54
Luca Harwood,9,"1,3,5,7,9,11,12,16,17",8,1,7,0,15,7,15,14,1,1,2,0,4,2,2,0,0,0,156.21,98.98,12.02,7.61,191.34,101.17,13.67,7.23
Ethan Lieman,7,"1,4,5,7,11,12,20",6,1,5,0,15,7,12,15,0,0,0,3,2,1,1,1,0,0,113.31,54.30,10.30,4.94,215.12,123.36,14.34,8.22
Calan Kirkpatrick,7,"2,6,8,10,14,15,18",0,7,0,3,10,4,9,10,0,1,0,1,1,1,0,0,0,0,82.60,30.62,13.77,5.10,122.92,14.69,12.29,1.47
Roan Dunkerley,7,"1,3,7,9,12,15,17",6,1,6,1,9,5,9,9,0,0,0,0,1,1,0,0,0,0,73.69,-5.39,10.53,-0.77,112.94,92.81,12.55,10.31
Toby Paperno,6,"2,4,10,14,15,16",0,6,0,2,4,4,3,4,0,0,0,1,1,0,1,0,0,0,22.53,10.55,7.51,3.52,56.08,36.88,14.02,9.22
Leo Narbonne,6,"2,6,8,10,14,18",0,6,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,18.16,13.75,18.16,13.75,0.00,0.00,0.00,0.00
Sam Green,5,"2,10,13,14,16",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nima Lhamo,5,"2,4,10,13,14",0,5,0,1,4,2,4,4,0,0,0,0,0,0,0,0,0,0,39.00,5.94,9.75,1.48,49.93,22.81,12.48,5.70
Tomo Liou,4,"4,6,15,18",0,4,0,2,3,2,3,3,0,0,0,0,2,0,2,0,0,0,29.05,-9.14,9.68,-3.05,38.14,22.66,12.71,7.55
Jonathan Coombs,4,"4,6,8,18",0,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,5.89,3.13,5.89,3.13
Wes K-H,4,"6,8,18,19",0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nadav Berkman,4,"6,13,18,19",0,4,0,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,27.43,26.80,13.72,13.40,11.08,8.98,11.08,8.98
Chaz Norris,3,"8,15,19",0,3,0,1,7,2,7,7,0,0,1,0,0,0,0,0,0,0,68.16,18.13,11.36,3.02,81.63,33.44,11.66,4.78
Charlie Leightheiser,3,"8,13,19",0,3,0,0,2,1,2,1,1,0,0,0,1,1,0,0,0,0,13.51,-4.53,13.51,-4.53,7.20,-2.97,7.20,-2.97
Jae Lee,3,"8,16,19",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ian Buchanon,3,"5,13,20",2,1,2,0,3,1,3,3,0,0,0,0,1,1,0,0,0,0,14.38,10.55,7.19,5.27,43.80,19.92,14.60,6.64
Gavin Abrahamson,1,19,0,1,0,0,3,1,3,2,1,0,0,0,2,2,0,1,0,0,7.20,-2.97,7.20,-2.97,27.43,27.03,13.72,13.52
