Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Gavin Abrahamson,8,"2,4,6,10,12,16,17,19",6,2,6,1,6,4,2,6,0,0,1,4,1,0,1,1,0,0,23.60,20.31,11.80,10.16,156.97,133.75,26.16,22.29
Griffin Gee,8,"2,4,8,10,12,15,16,19",6,2,6,1,8,5,7,7,1,1,1,1,0,0,0,0,0,0,83.47,48.75,11.92,6.96,89.90,56.48,12.84,8.07
Artie Aucoin,8,"1,7,8,9,11,13,15,20",2,6,2,3,10,5,9,7,3,0,1,1,0,0,0,0,0,0,128.08,46.25,14.23,5.14,95.53,24.53,13.65,3.50
Roan Dunkerley,8,"2,3,6,10,12,17,18,19",6,2,6,1,5,4,4,5,0,0,0,1,0,0,0,0,0,0,45.60,4.69,11.40,1.17,93.77,81.25,18.75,16.25
Taylor Hanson,7,"1,3,5,9,13,14,18",0,7,0,2,4,3,4,4,0,1,0,0,1,1,0,1,0,0,87.38,82.15,43.69,41.07,60.96,50.40,15.24,12.60
Sam Green,7,"1,4,7,9,13,16,20",0,7,0,3,3,2,2,3,0,0,0,1,0,0,0,1,0,0,28.18,1.09,14.09,0.55,47.63,47.19,15.88,15.73
Ethan Lieman,7,"2,8,10,11,12,15,19",6,1,6,1,7,5,6,7,0,2,0,1,0,0,0,0,0,0,115.44,80.78,19.24,13.46,118.58,70.00,16.94,10.00
Calan Kirkpatrick,7,"1,3,6,9,13,17,18",2,5,2,2,3,3,2,3,0,0,1,1,0,0,0,1,0,0,25.05,18.29,12.53,9.14,99.00,-43.36,33.00,-14.45
Nadav Berkman,7,"1,4,8,9,13,15,16",2,5,2,2,9,5,9,6,3,1,0,0,0,0,0,0,0,0,179.75,109.74,19.97,12.19,80.87,17.73,13.48,2.96
Carter Hawkins,6,"2,8,10,12,15,19",6,0,6,0,8,6,8,3,5,1,0,0,0,0,0,0,0,0,122.54,84.77,15.32,10.60,31.87,1.17,10.62,0.39
Luca Harwood,6,"2,6,10,12,17,19",6,0,6,0,10,5,9,10,0,3,1,1,0,0,0,0,0,0,171.51,137.03,19.06,15.23,152.78,51.87,15.28,5.19
Tomo Liou,6,"3,5,7,14,18,20",0,6,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nima Lhamo,6,"1,4,9,11,13,16",0,6,0,3,5,3,5,5,0,0,1,0,2,2,0,0,0,0,17.28,8.44,8.64,4.22,53.22,30.16,10.64,6.03
Charlie Leightheiser,6,"3,4,5,14,16,18",0,6,0,2,5,4,5,3,2,1,0,0,0,0,0,1,0,0,66.47,34.22,13.29,6.84,42.90,13.52,14.30,4.51
Ian Buchanon,6,"5,6,7,14,17,20",2,4,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,23.13,23.12,23.13,23.12,15.74,4.30,15.74,4.30
Caelan McSweeney,6,"2,6,10,12,17,19",6,0,6,0,11,6,11,9,2,1,4,0,0,0,0,0,0,0,184.60,106.56,16.78,9.69,95.63,50.16,10.63,5.57
Mason Stone,6,"3,7,8,15,18,20",2,4,2,2,5,4,4,4,1,0,2,1,0,0,0,0,0,0,48.53,7.73,12.13,1.93,91.92,70.16,22.98,17.54
Wes K-H,6,"3,4,5,14,16,18",0,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.50,3.91,9.50,3.91,9.43,7.27,9.43,7.27
Jonathan Coombs,5,"5,7,11,14,20",0,5,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,23.35,-3.13,11.68,-1.56,25.04,24.38,12.52,12.19
Leo Narbonne,5,"5,7,11,14,20",0,5,0,2,5,3,5,4,1,1,0,0,1,1,0,1,0,0,62.91,13.74,15.73,3.44,62.43,33.21,15.61,8.30
Shiff Burt,5,"6,8,11,15,17",4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Toby Paperno,4,"1,9,11,13",0,4,0,2,3,2,3,2,1,0,0,0,0,0,0,1,0,0,31.26,25.55,10.42,8.52,31.53,21.25,15.76,10.62
