Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Gavin Abrahamson,12,"1,2,4,5,7,9,10,14,16,17,18,22",9,3,7,1,12,7,7,12,0,0,2,5,1,1,0,0,0,0,65.46,34.38,10.91,5.73,246.62,189.06,20.55,15.76
Mason Stone,11,"2,3,7,10,11,13,14,16,17,19,21",4,7,4,4,14,7,13,9,5,4,1,1,0,0,0,1,0,0,190.72,115.94,14.67,8.92,100.04,67.97,11.12,7.55
Griffin Gee,11,"1,2,7,8,9,10,14,16,17,21,22",7,4,5,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,26.98,8.67,8.99,2.89,34.81,18.83,11.60,6.28
Caelan McSweeney,10,"1,2,5,9,10,12,14,16,18,22",9,1,7,1,17,10,16,14,3,4,0,1,1,1,0,0,0,0,249.84,154.14,16.66,10.28,146.90,65.31,10.49,4.67
Roan Dunkerley,10,"1,2,5,9,10,11,14,16,18,22",9,1,7,1,5,3,5,5,0,2,0,0,1,1,0,1,0,0,58.68,41.25,14.67,10.31,49.82,29.53,9.96,5.91
Carter Hawkins,10,"1,2,5,9,10,12,14,16,18,22",9,1,7,1,21,9,20,15,6,0,3,1,0,0,0,0,0,0,241.64,134.30,12.08,6.71,173.22,65.23,11.55,4.35
Shiff Burt,9,"1,5,6,9,10,14,16,18,22",8,1,6,1,16,5,16,15,1,0,2,0,0,0,0,0,0,0,196.99,99.22,12.31,6.20,158.35,24.92,10.56,1.66
Leo Narbonne,8,"3,4,8,13,15,19,21,23",0,8,0,3,6,4,6,4,2,1,0,0,2,2,0,1,0,0,64.42,56.41,16.11,14.10,49.39,23.91,12.35,5.98
Calan Kirkpatrick,7,"3,8,11,13,15,19,21",0,7,0,3,7,3,6,6,1,1,1,1,0,0,0,1,0,0,64.24,55.47,10.71,9.24,85.90,46.95,14.32,7.83
Charlie Leightheiser,7,"7,8,12,15,17,20,23",0,7,0,4,6,4,5,4,2,1,1,1,1,0,1,0,0,0,59.32,41.02,11.86,8.20,62.22,37.42,15.55,9.36
Chaz Norris,7,"6,8,11,15,18,20,23",1,6,1,4,9,4,9,8,1,0,1,0,0,0,0,0,0,0,110.91,15.08,12.32,1.68,82.17,-3.52,10.27,-0.44
Nadav Berkman,7,"4,7,12,15,17,20,23",0,7,0,4,3,3,3,2,1,0,0,0,0,0,0,0,0,0,24.68,22.19,12.34,11.09,25.38,24.92,12.69,12.46
Sam Green,7,"3,7,11,12,13,17,20",0,7,0,5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,9.97,9.92,9.97,9.92
Nima Lhamo,7,"3,6,7,13,17,20,23",0,7,0,5,5,2,4,5,0,0,0,1,2,2,0,0,0,0,21.88,-1.95,10.94,-0.98,54.31,41.48,10.86,8.30
Jonathan Coombs,7,"4,6,8,15,19,20,23",0,7,0,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,37.45,6.09,9.36,1.52,56.52,48.83,14.13,12.21
Tomo Liou,6,"4,6,11,19,20,21",0,6,0,4,7,3,7,7,0,1,0,0,1,1,0,0,0,0,72.66,0.70,12.11,0.12,90.37,55.62,12.91,7.95
Artie Aucoin,6,"3,4,6,13,19,21",0,6,0,3,14,4,14,9,5,1,0,0,1,1,0,1,0,0,135.52,52.50,10.42,4.04,99.64,21.09,11.07,2.34
Wes K-H,6,"4,8,15,19,21,23",0,6,0,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,42.08,37.89,21.04,18.95
Luca Harwood,5,"1,2,5,9,12",4,1,2,1,7,4,6,7,0,0,1,1,2,2,0,0,0,0,56.50,26.72,14.12,6.68,110.79,46.41,15.83,6.63
Toby Paperno,4,"3,6,12,13",0,4,0,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,21.78,20.70,10.89,10.35,26.92,26.80,13.46,13.40
Ian Buchanon,4,"5,11,18,22",3,1,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,24.56,7.81,12.28,3.91,18.84,12.03,9.42,6.02
