Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Caelan McSweeney,13,"1,3,4,6,7,10,13,15,16,18,21,22,23",10,3,7,3,27,12,27,18,9,4,2,0,2,2,0,1,0,0,367.66,216.33,14.71,8.65,185.58,92.42,10.31,5.13
Mason Stone,12,"2,3,4,7,8,11,14,17,18,19,20,23",5,7,3,3,4,4,3,2,2,1,1,1,0,0,0,0,0,0,61.84,43.59,20.61,14.53,39.99,29.06,19.99,14.53
Gavin Abrahamson,12,"1,4,6,8,10,13,15,16,17,18,21,23",8,4,6,3,11,6,9,10,1,1,1,2,1,1,0,1,0,0,129.92,65.62,16.24,8.20,142.64,127.97,14.26,12.80
Shiff Burt,11,"3,4,6,7,12,13,14,15,18,21,22",8,3,6,1,7,5,5,6,1,0,0,2,1,0,1,1,0,0,56.58,36.80,11.32,7.36,94.58,54.61,15.76,9.10
Carter Hawkins,11,"1,3,4,6,7,10,13,15,16,18,21",10,1,7,1,22,8,21,16,6,2,0,1,4,4,0,1,0,0,194.23,135.08,12.14,8.44,154.50,81.25,9.66,5.08
Sam Green,10,"2,8,9,11,14,16,17,19,20,23",1,9,0,4,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.00,0.00,0.00,0.00,22.41,21.17,22.41,21.17
Artie Aucoin,10,"2,5,11,12,14,16,19,20,22,23",1,9,0,4,15,5,14,10,5,1,1,1,2,2,0,1,0,0,187.81,130.00,15.65,10.83,97.73,36.25,9.77,3.62
Griffin Gee,9,"1,3,6,7,8,10,15,17,21",7,2,4,1,10,7,9,10,0,2,1,1,1,1,0,1,0,0,85.56,70.31,10.69,8.79,169.66,124.14,16.97,12.41
Calan Kirkpatrick,9,"2,5,9,11,14,19,20,22,23",1,8,0,3,8,5,8,8,0,1,0,0,3,3,0,1,0,0,60.59,50.55,12.12,10.11,95.74,16.64,11.97,2.08
Roan Dunkerley,8,"1,3,6,7,10,14,15,21",7,1,4,0,5,3,4,3,2,0,0,1,1,0,1,1,0,0,41.08,20.70,10.27,5.18,63.45,51.87,21.15,17.29
Toby Paperno,8,"2,11,12,16,19,20,22,23",1,7,0,4,7,4,7,7,0,0,1,0,0,0,0,0,0,0,68.66,41.02,9.81,5.86,114.94,58.83,16.42,8.40
Luca Harwood,8,"1,7,10,13,15,16,18,21",7,1,6,1,8,6,8,6,2,0,2,0,1,1,0,0,0,0,68.94,42.11,11.49,7.02,80.05,33.83,13.34,5.64
Nima Lhamo,7,"2,8,11,12,17,19,20",1,6,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,12.65,0.31,12.65,0.31,0.00,0.00,0.00,0.00
Ethan Lieman,6,"1,4,6,10,12,13",5,1,3,0,5,3,4,5,0,0,0,1,1,1,0,0,0,0,31.55,-5.86,10.52,-1.95,65.68,57.27,13.14,11.45
Leo Narbonne,5,"2,5,11,19,20",1,4,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,24.78,-12.66,12.39,-6.33,19.81,15.70,9.90,7.85
Ian Buchanon,4,"3,4,13,18",4,0,3,0,4,2,4,4,0,0,1,0,0,0,0,0,0,0,34.10,15.55,8.53,3.89,60.29,8.59,15.07,2.15
Nadav Berkman,4,"5,8,9,17",0,4,0,1,3,2,2,3,0,0,0,1,1,1,0,0,0,0,11.82,-8.05,11.82,-8.05,41.10,29.77,13.70,9.92
Jonathan Coombs,3,"5,12,22",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tomo Liou,3,"5,12,22",0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.47,5.55,8.47,5.55,13.01,11.33,13.01,11.33
Charlie Leightheiser,3,"8,9,17",0,3,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,30.73,14.06,15.37,7.03,13.75,13.75,13.75,13.75
Wes K-H,2,"5,9",0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.97,-1.64,9.97,-1.64,14.92,-0.47,14.92,-0.47
Chaz Norris,2,"9,14",0,2,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,23.76,-7.42,11.88,-3.71,21.55,12.66,10.77,6.33
Jae Lee,1,9,0,1,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,21.55,12.66,10.77,6.33,20.89,-12.03,10.45,-6.02
