Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Carter Hawkins,8,"1,4,5,6,14,15,17,21",7,1,6,1,16,6,16,11,5,0,1,0,0,0,0,1,0,0,178.80,62.53,11.17,3.91,131.70,16.88,11.97,1.53
Caelan McSweeney,8,"1,3,5,6,14,15,17,19",7,1,6,1,20,7,20,19,1,3,3,0,1,1,0,0,0,0,273.90,150.86,14.42,7.94,202.18,87.81,10.64,4.62
Ethan Lieman,8,"1,4,5,6,13,14,17,21",7,1,6,0,11,6,7,11,0,0,0,4,3,3,0,0,0,0,58.96,42.97,14.74,10.74,233.55,183.67,21.23,16.70
Roan Dunkerley,8,"1,3,5,6,9,16,17,19",6,2,5,1,6,5,6,5,1,0,0,0,0,0,0,0,0,0,69.25,17.66,11.54,2.94,87.66,46.02,17.53,9.20
Gavin Abrahamson,8,"1,3,5,6,9,17,18,19",6,2,5,1,10,3,10,10,0,0,2,0,0,0,0,1,0,0,118.03,-17.66,11.80,-1.77,146.14,57.50,14.61,5.75
Artie Aucoin,8,"2,7,8,10,12,13,15,21",2,6,2,3,18,5,17,15,3,2,2,1,0,0,0,1,0,0,244.38,132.34,14.38,7.78,188.11,-18.28,12.54,-1.22
Luca Harwood,8,"1,3,4,5,6,15,17,19",7,1,5,1,12,7,12,11,1,3,0,0,1,1,0,0,0,0,222.98,173.12,20.27,15.74,173.44,86.17,15.77,7.83
Griffin Gee,8,"1,4,5,6,14,17,18,21",7,1,6,0,5,2,5,5,0,0,0,0,1,1,0,0,0,0,63.71,48.83,15.93,12.21,61.97,7.27,12.39,1.45
Mason Stone,8,"4,7,8,9,12,14,16,21",4,4,3,2,13,5,11,13,0,1,2,2,0,0,0,0,0,0,172.44,77.89,15.68,7.08,207.93,96.05,15.99,7.39
Tomo Liou,7,"7,8,9,11,12,16,20",1,6,1,3,5,2,5,5,0,0,0,0,1,1,0,0,0,0,54.47,3.91,13.62,0.98,54.82,14.45,10.96,2.89
Sam Green,7,"2,7,8,10,12,15,18",1,6,1,3,3,2,2,3,0,0,0,1,0,0,0,0,0,0,22.37,-13.75,11.19,-6.87,38.77,35.31,12.92,11.77
Ian Buchanon,7,"3,7,8,11,12,19,20",3,4,2,2,6,4,3,5,1,0,0,3,0,0,0,1,0,0,41.48,6.80,13.83,2.27,77.88,56.17,15.58,11.23
Leo Narbonne,7,"7,8,11,12,13,15,20",1,6,1,3,7,3,7,5,2,1,0,0,1,1,0,0,0,0,86.32,39.84,14.39,6.64,89.22,73.91,17.84,14.78
Shiff Burt,6,"3,4,13,14,19,21",5,1,3,0,6,4,5,4,2,0,0,1,0,0,0,0,0,0,65.48,29.61,13.10,5.92,46.56,26.80,11.64,6.70
Jonathan Coombs,6,"7,8,11,12,13,20",1,5,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,9.24,9.06,9.24,9.06,10.43,9.77,10.43,9.77
Nadav Berkman,6,"2,4,10,14,18,21",3,3,2,1,3,3,3,1,2,0,0,0,0,0,0,0,0,0,32.85,-1.95,10.95,-0.65,16.77,11.02,16.77,11.02
Calan Kirkpatrick,6,"2,3,9,10,16,19",2,4,1,2,9,3,9,9,0,2,0,0,0,0,0,2,0,0,149.25,108.59,16.58,12.07,152.42,70.70,16.94,7.86
Taylor Hanson,6,"2,9,10,11,16,20",0,6,0,3,8,4,8,6,2,0,0,0,2,1,1,1,0,0,96.92,2.97,13.85,0.42,83.04,-0.31,13.84,-0.05
Charlie Leightheiser,5,"9,11,16,18,20",0,5,0,2,9,4,9,6,3,0,0,0,1,1,0,0,0,0,96.62,-7.27,13.80,-1.04,90.12,-5.08,15.02,-0.85
Wes K-H,4,"11,16,18,20",0,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,28.20,-14.61,28.20,-14.61,13.38,8.44,13.38,8.44
Nima Lhamo,4,"2,10,13,18",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Toby Paperno,4,"2,10,13,15",0,4,0,2,4,2,4,4,0,1,0,0,0,0,0,0,0,0,42.83,-2.19,10.71,-0.55,50.48,35.86,12.62,8.96
