Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Gavin Abrahamson,10,"1,2,3,4,6,7,8,13,16,17",7,3,6,0,8,3,7,8,0,0,0,1,2,1,1,0,0,0,56.08,15.47,9.35,2.58,129.06,101.33,16.13,12.67
Caelan McSweeney,9,"1,2,3,4,6,8,13,16,18",8,1,7,0,22,7,21,17,5,4,0,1,1,1,0,0,0,0,288.44,176.56,16.02,9.81,160.17,54.53,9.42,3.21
Roan Dunkerley,9,"1,2,5,6,8,13,15,16,18",7,2,6,0,5,4,3,5,0,0,0,2,1,1,0,1,0,0,14.66,2.50,7.33,1.25,97.74,55.23,19.55,11.05
Griffin Gee,9,"1,3,4,6,7,11,13,17,18",6,3,5,0,11,7,9,10,1,0,1,2,0,0,0,0,0,0,105.78,25.78,11.75,2.86,136.13,81.17,13.61,8.12
Shiff Burt,8,"2,3,4,8,9,11,16,18",6,2,6,1,7,3,5,6,1,0,0,2,0,0,0,1,0,0,44.05,18.52,11.01,4.63,114.48,74.38,19.08,12.40
Carter Hawkins,8,"1,3,4,6,9,11,13,18",6,2,5,1,8,5,8,4,4,1,2,0,1,1,0,0,0,0,84.87,37.66,12.12,5.38,43.14,-4.06,10.78,-1.02
Mason Stone,7,"3,4,5,10,11,15,18",3,4,3,0,4,2,4,3,1,1,0,0,1,1,0,0,0,0,85.08,60.23,28.36,20.08,32.12,17.34,10.71,5.78
Luca Harwood,6,"1,2,6,8,13,16",6,0,5,0,4,3,4,4,0,1,1,0,0,0,0,0,0,0,64.18,48.12,16.04,12.03,41.61,3.28,10.40,0.82
Calan Kirkpatrick,6,"2,5,8,14,15,16",3,3,3,1,3,3,2,2,1,1,0,1,0,0,0,0,0,0,24.00,15.86,12.00,7.93,25.03,14.61,12.52,7.30
Nadav Berkman,6,"3,4,7,11,14,17",2,4,2,1,9,3,9,6,3,0,0,0,1,1,0,0,0,0,89.62,45.39,11.20,5.67,62.79,-14.37,10.47,-2.40
Ethan Lieman,6,"1,6,9,11,13,18",5,1,4,1,12,4,12,12,0,1,1,0,1,0,1,0,0,0,115.83,63.28,9.65,5.27,141.84,79.38,11.82,6.61
Ian Buchanon,5,"2,8,10,12,16",3,2,3,0,3,2,2,2,1,0,0,1,0,0,0,1,0,0,21.56,8.36,10.78,4.18,34.55,21.87,17.28,10.94
Wes K-H,5,"5,7,12,15,17",0,5,0,0,3,2,3,3,0,0,0,0,1,1,0,0,0,0,23.53,0.55,11.77,0.27,50.23,22.89,16.74,7.63
Charlie Leightheiser,5,"5,7,12,15,17",0,5,0,0,6,2,6,5,1,0,0,0,0,0,0,0,0,0,74.20,45.00,12.37,7.50,46.68,17.03,9.34,3.41
Sam Green,4,"7,10,14,17",0,4,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,13.50,5.31,13.50,5.31,27.39,14.06,13.70,7.03
Taylor Hanson,4,"5,12,14,15",0,4,0,1,5,2,5,4,1,0,0,0,1,1,0,1,0,0,43.88,26.80,10.97,6.70,62.26,24.53,15.56,6.13
Artie Aucoin,4,"9,10,11,14",1,3,1,2,8,3,8,6,2,1,0,0,1,1,0,0,0,0,91.55,19.14,13.08,2.73,52.21,18.83,8.70,3.14
Nima Lhamo,4,"7,9,14,17",0,4,0,2,5,3,5,4,1,0,0,0,1,1,0,2,0,0,34.02,19.06,8.50,4.77,46.71,26.56,11.68,6.64
Leo Narbonne,4,"9,10,12,14",0,4,0,2,5,2,5,3,2,0,0,0,0,0,0,0,0,0,49.74,-14.06,9.95,-2.81,19.62,4.14,6.54,1.38
Tomo Liou,4,"5,10,12,15",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jonathan Coombs,3,"9,10,12",0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
