Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Caelan McSweeney,12,"1,3,6,8,10,11,17,18,21,22,23,25",11,1,9,0,29,11,29,21,8,5,0,0,2,2,0,0,0,0,404.83,230.19,15.57,8.85,193.24,64.38,9.20,3.07
Carter Hawkins,12,"1,3,6,8,10,11,17,18,21,22,23,25",11,1,9,0,25,8,24,19,6,2,1,1,2,2,0,0,0,0,252.47,144.14,11.48,6.55,224.56,50.94,11.82,2.68
Ethan Lieman,12,"1,4,6,8,10,11,12,13,17,21,23,25",9,3,7,3,23,10,17,22,1,0,5,6,1,1,0,1,0,0,170.16,39.14,10.64,2.45,329.12,194.22,14.96,8.83
Roan Dunkerley,12,"1,3,8,10,11,12,13,17,18,21,23,25",10,2,8,2,14,9,12,14,0,0,0,2,1,0,1,1,0,0,108.60,13.91,9.05,1.16,239.02,179.61,17.07,12.83
Gavin Abrahamson,11,"1,5,6,8,9,10,11,16,17,21,23",8,3,6,0,2,2,2,1,1,0,0,0,0,0,0,1,0,0,25.69,9.61,12.85,4.80,12.81,10.16,12.81,10.16
Griffin Gee,11,"1,3,6,8,9,11,16,18,21,23,25",9,2,9,0,8,4,8,8,0,1,2,0,0,0,0,1,0,0,84.56,39.77,10.57,4.97,103.49,20.16,12.94,2.52
Mason Stone,9,"2,3,6,9,12,13,16,18,25",4,5,4,2,7,4,7,5,2,0,1,0,0,0,0,0,0,0,85.23,22.27,14.20,3.71,61.11,13.98,12.22,2.80
Luca Harwood,9,"1,3,6,8,10,11,17,18,21",9,0,7,0,9,6,9,9,0,1,0,0,1,1,0,0,0,0,149.14,79.30,18.64,9.91,115.19,46.02,12.80,5.11
Shiff Burt,8,"3,4,10,17,18,19,23,25",6,2,4,2,8,7,6,5,3,1,0,2,0,0,0,2,0,0,63.42,12.42,10.57,2.07,78.62,43.47,15.72,8.69
Chaz Norris,8,"7,12,13,14,15,19,20,24",0,8,0,5,1,1,1,1,0,0,1,0,0,0,0,1,0,0,15.89,15.86,15.89,15.86,4.87,-0.55,4.87,-0.55
Calan Kirkpatrick,8,"2,7,12,13,14,15,20,24",0,8,0,4,7,4,7,7,0,2,1,0,1,1,0,0,0,0,96.06,75.47,16.01,12.58,100.26,27.42,14.32,3.92
Leo Narbonne,7,"2,5,7,14,15,22,24",0,7,0,2,7,3,7,6,1,1,1,0,1,1,0,0,0,0,91.28,53.05,15.21,8.84,86.70,25.63,14.45,4.27
Charlie Leightheiser,7,"7,9,15,16,20,22,24",0,7,0,1,3,2,3,3,0,0,0,0,1,0,1,0,0,0,38.24,5.39,12.75,1.80,49.84,10.31,16.61,3.44
Sam Green,7,"2,7,9,14,16,20,22",0,7,0,1,3,2,3,3,0,0,0,0,0,0,0,0,0,0,33.88,-4.92,11.29,-1.64,33.09,31.64,11.03,10.55
Wes K-H,7,"5,7,12,13,15,20,24",0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Artie Aucoin,6,"2,4,5,14,15,19",0,6,0,4,15,5,12,10,5,1,0,2,0,0,0,1,0,1,191.70,118.52,17.43,10.77,139.31,41.48,13.93,4.15
Nadav Berkman,6,"5,9,16,20,22,24",0,6,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,29.04,3.59,14.52,1.80,11.14,4.77,11.14,4.77
Tomo Liou,6,"4,5,12,13,19,20",0,6,0,4,3,2,3,3,0,0,0,0,2,1,1,1,0,0,25.19,-11.41,12.59,-5.70,40.80,39.45,13.60,13.15
Nima Lhamo,6,"2,4,9,14,16,19",0,6,0,3,4,3,4,4,0,0,0,0,1,1,0,0,0,0,37.78,-17.81,12.59,-5.94,36.80,1.17,9.20,0.29
Jonathan Coombs,6,"4,5,7,15,19,24",0,6,0,3,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,61.59,57.11,30.79,28.55
Toby Paperno,5,"2,4,14,19,22",0,5,0,3,6,2,6,5,1,1,1,0,0,0,0,0,0,0,76.41,37.34,12.74,6.22,58.00,4.45,11.60,0.89
