Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Nima Lhamo,6,"2,4,8,12,14,17",0,6,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,41.91,38.91,20.95,19.45,33.44,32.66,16.72,16.33
Artie Aucoin,6,"2,4,6,12,13,14",1,5,1,3,8,4,7,7,1,1,1,1,0,0,0,0,0,0,84.88,23.28,12.13,3.33,105.56,36.56,15.08,5.22
Charlie Leightheiser,6,"5,7,8,10,16,17",0,6,0,4,5,3,5,5,0,1,1,0,0,0,0,0,0,0,74.62,45.08,14.92,9.02,61.16,22.03,12.23,4.41
Gavin Abrahamson,6,"1,3,8,11,15,17",4,2,4,2,6,5,4,6,0,0,0,2,1,1,0,1,0,0,34.15,23.05,11.38,7.68,130.41,120.47,21.73,20.08
Tomo Liou,6,"5,7,9,10,14,16",0,6,0,3,2,2,2,2,0,1,0,0,1,1,0,0,0,0,11.88,11.88,11.88,11.88,23.01,22.11,11.51,11.05
Calan Kirkpatrick,6,"3,4,7,14,15,16",2,4,2,3,6,4,4,6,0,0,1,2,1,1,0,0,0,0,54.24,7.81,18.08,2.60,100.49,61.64,16.75,10.27
Ian Buchanon,6,"3,5,9,10,15,16",2,4,2,2,7,3,6,3,4,1,0,1,0,0,0,2,0,0,110.72,60.70,18.45,10.12,59.15,29.84,19.72,9.95
Sam Green,6,"4,8,9,13,14,17",0,6,0,5,4,4,3,4,0,1,2,1,0,0,0,0,0,0,33.55,29.38,11.18,9.79,55.11,24.45,13.78,6.11
Wes K-H,6,"5,7,8,10,16,17",0,6,0,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,44.67,44.61,44.67,44.61
Roan Dunkerley,6,"1,3,7,11,15,16",4,2,4,2,5,4,4,4,1,0,2,1,1,1,0,3,0,0,34.27,28.44,11.42,9.48,80.77,72.27,20.19,18.07
Shiff Burt,5,"2,3,6,12,15",3,2,3,1,10,3,9,9,1,1,0,1,0,0,0,1,0,0,103.04,38.05,11.45,4.23,111.15,54.53,12.35,6.06
Caelan McSweeney,5,"1,3,11,13,15",4,1,4,1,6,5,6,3,3,1,0,0,0,0,0,0,0,0,122.98,83.36,20.50,13.89,43.03,24.53,14.34,8.18
Leo Narbonne,5,"5,9,10,12,13",0,5,0,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,9.33,8.44,9.33,8.44,14.05,5.63,14.05,5.63
Luca Harwood,5,"1,3,11,13,15",4,1,4,1,7,5,5,7,0,2,1,2,0,0,0,0,0,0,95.27,75.16,19.05,15.03,109.64,75.08,15.66,10.73
Jonathan Coombs,5,"2,5,9,10,12",0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Toby Paperno,5,"2,4,12,13,14",0,5,0,3,4,3,4,3,1,0,0,0,0,0,0,0,0,0,42.37,0.78,10.59,0.20,30.75,0.62,10.25,0.21
Nadav Berkman,5,"4,6,8,14,17",1,4,1,3,4,3,4,1,3,0,0,0,0,0,0,0,0,0,52.50,34.38,13.12,8.59,10.57,2.66,10.57,2.66
Ethan Lieman,5,"1,2,6,11,12",3,2,3,1,9,5,9,9,0,0,2,0,0,0,0,1,0,0,114.42,14.53,12.71,1.61,119.37,30.55,13.26,3.39
Griffin Gee,5,"1,6,8,11,17",3,2,3,2,3,3,3,3,0,2,0,0,0,0,0,0,0,0,66.21,66.09,22.07,22.03,32.74,20.86,10.91,6.95
Taylor Hanson,4,"4,5,7,10",0,4,0,2,4,2,4,2,2,1,0,0,0,0,0,2,0,0,68.86,42.58,17.22,10.64,23.92,2.73,11.96,1.37
Carter Hawkins,4,"1,6,11,13",3,1,3,1,6,2,6,5,1,1,0,0,0,0,0,0,0,0,82.14,44.38,13.69,7.40,49.29,-3.98,9.86,-0.80
Mason Stone,4,"6,7,9,16",1,3,1,3,6,3,5,5,1,0,1,1,0,0,0,1,0,0,78.47,27.89,15.69,5.58,65.81,25.86,13.16,5.17
Chaz Norris,1,2,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,11.74,-1.56,11.74,-1.56
