Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Carter Hawkins,11,"3,5,7,10,11,13,14,17,19,21,22",10,1,9,1,32,10,31,25,7,3,1,1,1,1,0,0,0,0,392.42,200.31,13.08,6.68,312.02,64.77,12.48,2.59
Caelan McSweeney,10,"3,5,10,11,12,13,17,19,21,22",8,2,7,1,26,9,23,22,4,1,5,3,1,1,0,0,0,0,339.48,167.11,15.43,7.60,277.40,165.94,12.61,7.54
Roan Dunkerley,10,"3,4,5,10,11,13,16,17,19,21",8,2,7,0,7,4,7,7,0,1,0,0,0,0,0,0,0,0,134.95,48.44,19.28,6.92,106.02,65.47,15.15,9.35
Sam Green,10,"1,2,6,8,9,12,15,18,20,22",0,10,0,4,3,2,3,3,0,0,0,0,1,0,1,1,0,0,31.54,10.70,10.51,3.57,47.75,17.34,15.92,5.78
Luca Harwood,10,"3,5,9,10,11,13,17,19,21,22",8,2,7,1,13,6,11,12,1,2,1,2,0,0,0,1,0,0,195.56,138.91,17.78,12.63,191.56,90.55,15.96,7.55
Artie Aucoin,9,"1,2,7,8,14,15,18,20,22",2,7,2,4,21,6,20,17,4,2,0,1,0,0,0,0,0,0,254.28,98.31,12.71,4.92,211.69,52.19,12.45,3.07
Calan Kirkpatrick,9,"1,2,4,5,11,12,15,16,19",3,6,3,2,11,5,10,11,0,2,0,1,0,0,0,0,0,0,119.79,69.69,13.31,7.74,137.71,47.38,12.52,4.31
Toby Paperno,8,"1,2,8,12,15,18,20,22",0,8,0,4,13,4,13,12,1,1,1,0,1,1,0,2,0,0,147.22,12.58,12.27,1.05,135.58,85.16,11.30,7.10
Gavin Abrahamson,8,"3,5,6,11,13,17,19,21",7,1,7,0,8,5,7,8,0,0,0,1,0,0,0,0,0,0,66.67,27.58,9.52,3.94,145.32,96.33,18.17,12.04
Ethan Lieman,8,"3,7,10,13,14,17,20,21",7,1,6,0,8,5,7,8,0,1,1,1,1,1,0,0,0,0,53.70,36.95,8.95,6.16,129.55,98.44,16.19,12.30
Mason Stone,7,"4,7,10,12,14,16,18",3,4,2,0,6,3,6,5,1,0,0,0,0,0,0,0,0,0,73.26,2.81,12.21,0.47,63.95,16.80,12.79,3.36
Griffin Gee,7,"3,6,7,10,14,17,21",6,1,5,0,5,3,4,5,0,0,1,1,0,0,0,0,0,0,43.68,2.73,10.92,0.68,59.32,35.47,11.86,7.09
Shiff Burt,7,"5,7,8,11,13,14,19",6,1,6,1,6,4,5,6,0,0,0,1,0,0,0,1,0,0,69.48,21.56,13.90,4.31,86.42,28.12,14.40,4.69
Leo Narbonne,6,"8,9,12,18,20,22",0,6,0,2,9,3,9,8,1,0,0,0,0,0,0,1,0,0,123.99,38.67,13.78,4.30,98.01,-2.81,12.25,-0.35
Nima Lhamo,6,"1,2,6,8,15,20",0,6,0,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,24.08,12.58,12.04,6.29,11.46,7.50,11.46,7.50
Taylor Hanson,6,"1,2,4,9,15,16",0,6,0,2,9,3,9,9,0,0,0,0,0,0,0,0,0,0,116.89,-1.25,12.99,-0.14,102.67,8.20,11.41,0.91
Nadav Berkman,6,"1,2,6,7,14,15",2,4,2,2,14,3,13,13,1,0,2,1,0,0,0,0,0,0,137.64,37.50,10.59,2.88,165.14,30.62,12.70,2.36
Tomo Liou,5,"4,9,12,16,18",0,5,0,0,2,2,2,2,0,0,0,0,1,1,0,0,0,0,12.11,-2.03,12.11,-2.03,29.51,17.97,14.75,8.98
Wes K-H,4,"4,6,9,16",0,4,0,0,2,1,2,2,0,0,0,0,2,2,0,0,0,0,0.00,0.00,0.00,0.00,25.68,-2.27,12.84,-1.13
Charlie Leightheiser,4,"4,6,9,16",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jonathan Coombs,3,"8,18,20",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
