Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-02-02 09:40:13,1,0,0,1,1,1,11,0,0,0,0,0,Griffin Gee,Carter Hawkins,Gavin Abrahamson
2025-02-02 09:42:09,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-02-02 09:43:46,3,1,1,1,1,1,5,0,0,0,0,0,Gavin Abrahamson,Roan Dunkerley,Shiff Burt
2025-02-02 09:45:28,4,2,1,0,0,1,4,1,1,0,0,1,,,
2025-02-02 09:49:15,5,2,2,1,0,2,12,2,2,0,0,1,,,
2025-02-02 09:54:28,6,2,3,1,0,1,4,1,0,1,0,0,,,
2025-02-02 09:56:33,7,2,4,1,1,1,14,0,0,0,0,0,Ethan Lieman,Caelan McSweeney,Luca Harwood
2025-02-02 10:00:31,8,3,4,0,0,0,0,0,0,0,0,0,,,
2025-02-02 10:02:29,9,3,5,1,1,1,16,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Carter Hawkins
2025-02-02 10:04:45,10,4,5,0,0,1,6,1,1,0,0,1,,,
2025-02-02 10:09:05,11,4,6,1,1,2,6,1,1,0,1,0,Griffin Gee,Carter Hawkins,Ethan Lieman
2025-02-02 10:11:35,12,5,6,0,0,0,0,0,0,0,0,0,,,
2025-02-02 10:13:24,13,5,7,0,0,1,1,1,0,1,0,1,,,
2025-02-02 10:22:28,14,5,8,1,1,1,12,0,0,0,0,0,Caelan McSweeney,Carter Hawkins,Luca Harwood
2025-02-02 10:25:04,15,6,8,0,0,0,0,0,0,0,0,0,,,
2025-02-02 10:27:27,16,6,9,0,1,3,18,2,2,0,1,1,Carter Hawkins,Ethan Lieman,Shiff Burt
2025-02-02 10:31:19,17,7,9,0,1,1,14,0,0,0,0,1,Artie Aucoin,Caelan McSweeney,Sam Green
2025-02-02 10:35:23,18,8,9,0,0,1,3,1,0,1,1,0,,,
2025-02-02 10:39:43,19,8,10,1,1,1,5,0,0,0,0,0,Caelan McSweeney,Roan Dunkerley,Ethan Lieman
2025-02-02 10:41:34,20,9,10,0,0,0,0,0,0,0,0,0,,,
2025-02-02 10:43:09,21,9,11,1,1,1,6,0,0,0,0,0,Calan Kirkpatrick,Carter Hawkins,Gavin Abrahamson
2025-02-02 10:45:08,22,10,11,0,0,0,0,0,0,0,0,0,,,
2025-02-02 10:49:11,23,10,12,1,0,1,2,1,1,0,0,0,,,
2025-02-02 10:51:50,24,10,13,1,0,0,0,0,0,0,0,0,,,
