Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-03-02 10:00:28,1,0,0,1,1,1,13,0,0,0,0,0,Caelan McSweeney,Ethan Lieman,Griffin Gee
2025-03-02 10:04:05,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-03-02 10:06:20,3,1,1,1,0,1,12,1,1,0,0,0,,,
2025-03-02 10:10:12,4,1,2,1,1,1,7,0,0,0,0,0,Roan Dunkerley,Ethan Lieman,Gavin Abrahamson
2025-03-02 10:13:10,5,2,2,0,1,2,11,1,1,0,2,0,Artie Aucoin,Ethan Lieman,Nima Lhamo
2025-03-02 10:16:16,6,3,2,0,1,1,5,0,0,0,1,0,Charlie Leightheiser,Mason Stone,Gavin Abrahamson
2025-03-02 10:18:30,7,4,2,0,0,0,0,0,0,0,0,0,,,
2025-03-02 10:21:55,8,4,3,1,1,1,17,0,0,0,0,0,Caelan McSweeney,Carter Hawkins,Luca Harwood
2025-03-02 10:24:20,9,5,3,0,0,0,0,0,0,0,0,0,,,
2025-03-02 10:26:00,10,5,4,1,0,1,3,1,1,0,0,0,,,
2025-03-02 10:29:37,11,5,5,1,1,1,3,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Gavin Abrahamson
2025-03-02 10:31:20,12,6,5,0,0,0,0,0,0,0,0,0,,,
2025-03-02 10:33:16,13,6,6,1,1,1,11,0,0,0,0,0,Ethan Lieman,Carter Hawkins,Ethan Lieman
2025-03-02 10:35:58,14,7,6,0,0,0,0,0,0,0,0,0,,,
2025-03-02 10:39:12,15,7,7,1,1,1,5,0,0,0,0,0,Gavin Abrahamson,Caelan McSweeney,Carter Hawkins
2025-03-02 10:41:57,16,8,7,0,1,1,21,0,0,0,0,1,Artie Aucoin,Carter Hawkins,Shiff Burt
2025-03-02 10:53:21,17,9,7,0,1,1,16,0,0,0,1,0,Tomo Liou,Artie Aucoin,Leo Narbonne
2025-03-02 10:56:39,18,10,7,0,0,0,0,0,0,0,0,0,,,
2025-03-02 10:58:34,19,10,8,1,1,1,3,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Gavin Abrahamson
2025-03-02 11:00:14,20,11,8,0,0,0,0,0,0,0,0,0,,,
2025-03-02 11:02:38,21,11,9,1,1,1,14,0,0,0,0,0,Caelan McSweeney,Carter Hawkins,Roan Dunkerley
2025-03-02 11:04:51,22,12,9,0,1,2,19,1,1,0,2,0,Calan Kirkpatrick,Artie Aucoin,Leo Narbonne
2025-03-02 11:10:01,23,13,9,0,0,0,0,0,0,0,0,0,,,
2025-03-02 11:16:09,24,13,10,1,0,1,11,1,1,0,0,0,,,
2025-03-02 11:20:08,25,13,11,1,0,1,7,1,1,0,0,0,,,
2025-03-02 11:24:59,26,13,12,1,1,1,19,0,0,0,0,0,Calan Kirkpatrick,Artie Aucoin,Leo Narbonne
2025-03-02 11:28:07,27,14,12,0,0,0,0,0,0,0,0,0,,,
2025-03-02 11:31:29,28,14,13,1,1,1,14,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Gavin Abrahamson
2025-03-02 11:34:28,29,15,13,0,0,0,0,0,0,0,0,0,,,
