Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-01-31 13:27:36,1,0,0,1,1,1,9,0,0,0,0,0,Carter Hawkins,Luca Harwood,Ethan Lieman
2025-01-31 13:32:48,2,1,0,0,0,1,4,1,1,0,0,1,,,
2025-01-31 13:36:34,3,1,1,1,0,1,8,1,1,0,0,0,,,
2025-01-31 13:39:05,4,1,2,1,1,1,9,0,0,0,0,0,Mason Stone,Artie Aucoin,Ethan Lieman
2025-01-31 13:41:39,5,2,2,0,1,1,2,0,0,0,0,1,Artie Aucoin,Leo Narbonne,Sam Green
2025-01-31 13:44:11,6,3,2,0,0,0,0,0,0,0,0,0,,,
2025-01-31 13:46:25,7,3,3,1,1,1,8,0,0,0,0,0,Roan Dunkerley,Gavin Abrahamson,Roan Dunkerley
2025-01-31 13:48:41,8,4,3,0,0,0,0,0,0,0,0,0,,,
2025-01-31 13:50:59,9,4,4,1,1,2,43,1,1,0,1,0,Shiff Burt,Luca Harwood,Roan Dunkerley
2025-01-31 13:56:32,10,5,4,0,0,1,1,1,1,0,1,0,,,
2025-01-31 13:59:43,11,5,5,1,0,2,7,2,2,1,0,1,,,
2025-01-31 14:08:06,12,5,6,1,1,1,7,0,0,0,0,0,Luca Harwood,Caelan McSweeney,Ethan Lieman
2025-01-31 14:10:59,13,6,6,0,0,1,6,1,1,0,0,1,,,
2025-01-31 14:15:24,14,6,7,0,1,2,17,1,1,0,1,1,Caelan McSweeney,Shiff Burt,Nima Lhamo
2025-01-31 14:29:37,15,7,7,0,0,0,0,0,0,0,0,0,,,
2025-01-31 14:32:59,16,7,8,1,1,2,6,1,1,0,1,0,Shiff Burt,Caelan McSweeney,Gavin Abrahamson
2025-01-31 14:36:21,17,8,8,0,0,0,0,0,0,0,0,0,,,
2025-01-31 14:40:31,18,8,9,1,1,1,7,0,0,0,0,0,Ethan Lieman,Caelan McSweeney,Ethan Lieman
2025-01-31 14:42:31,19,9,9,0,0,2,3,2,2,0,2,0,,,
2025-01-31 14:49:16,20,9,10,1,1,2,10,1,1,0,0,1,Carter Hawkins,Luca Harwood,Caelan McSweeney
2025-01-31 14:52:06,21,10,10,0,0,1,1,1,1,0,0,1,,,
2025-01-31 14:55:35,22,10,11,1,0,0,0,0,0,0,0,0,,,
