Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-03-01 21:26:19,1,0,0,1,1,1,14,0,0,0,0,0,Carter Hawkins,Caelan McSweeney,Griffin Gee
2025-03-01 21:29:22,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-03-01 21:32:53,3,1,1,1,1,2,9,1,1,0,1,0,Luca Harwood,Carter Hawkins,Shiff Burt
2025-03-01 21:36:52,4,2,1,0,0,3,24,3,2,1,0,3,,,
2025-03-01 21:47:26,5,2,2,1,1,3,10,2,2,0,0,2,Caelan McSweeney,Luca Harwood,Ethan Lieman
2025-03-01 21:55:26,6,3,2,0,0,0,0,0,0,0,0,0,,,
2025-03-06 10:36:40,7,3,3,1,1,2,16,1,0,1,1,0,Luca Harwood,Caelan McSweeney,Ethan Lieman
2025-03-06 10:39:19,8,4,3,0,0,0,0,0,0,0,0,0,,,
2025-03-06 10:40:49,9,4,4,1,1,1,12,0,0,0,0,0,Carter Hawkins,Shiff Burt,Griffin Gee
2025-03-06 10:42:45,10,5,4,0,0,1,6,1,0,1,0,1,,,
2025-03-06 10:46:54,11,5,5,1,0,6,27,6,5,1,2,3,,,
2025-03-06 12:11:41,12,5,6,1,1,1,11,0,0,0,0,0,Caelan McSweeney,Carter Hawkins,Ethan Lieman
2025-03-06 12:17:11,13,6,6,0,0,0,0,0,0,0,0,0,,,
2025-03-06 13:50:42,14,6,7,0,1,2,15,1,0,1,0,2,Artie Aucoin,Calan Kirkpatrick,Toby Paperno
2025-03-06 13:56:12,15,7,7,0,1,4,34,3,1,2,1,3,Chaz Norris,Mason Stone,Calan Kirkpatrick
2025-03-06 23:42:08,16,8,7,0,0,1,1,1,1,0,1,0,,,
2025-03-06 23:44:57,17,8,8,1,1,1,5,0,0,0,0,0,Mason Stone,Griffin Gee,Shiff Burt
2025-03-06 23:46:51,18,9,8,0,1,1,4,0,0,0,0,1,Artie Aucoin,Nadav Berkman,Artie Aucoin
2025-03-06 23:49:21,19,10,8,0,0,4,11,4,3,1,3,1,,,
2025-03-06 23:56:36,20,10,9,1,1,1,13,0,0,0,0,0,Caelan McSweeney,Carter Hawkins,Caelan McSweeney
2025-03-06 23:59:57,21,11,9,0,0,0,0,0,0,0,0,0,,,
