Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-02-01 13:26:57,1,0,0,0,0,2,12,2,2,0,0,2,,,
2025-02-01 13:34:00,2,0,1,1,1,1,7,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Griffin Gee
2025-02-01 13:36:04,3,1,1,0,1,1,3,0,0,0,1,0,Mason Stone,Charlie Leightheiser,Calan Kirkpatrick
2025-02-01 13:39:44,4,2,1,0,1,1,5,0,0,0,1,0,Nima Lhamo,Nadav Berkman,Gavin Abrahamson
2025-02-01 13:43:17,5,3,1,0,0,1,6,1,0,1,0,1,,,
2025-02-01 13:47:16,6,3,2,1,1,1,10,0,0,0,0,0,Luca Harwood,Caelan McSweeney,Gavin Abrahamson
2025-02-01 13:51:32,7,4,2,0,0,0,0,0,0,0,0,0,,,
2025-02-01 13:53:32,8,4,3,1,1,1,11,0,0,0,0,0,Griffin Gee,Carter Hawkins,Ethan Lieman
2025-02-01 13:56:05,9,5,3,0,0,0,0,0,0,0,0,0,,,
2025-02-01 13:58:06,10,5,4,1,1,1,3,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Roan Dunkerley
2025-02-01 13:59:53,11,6,4,0,1,1,10,0,0,0,1,0,,Leo Narbonne,Artie Aucoin
2025-02-01 14:11:50,12,7,4,1,1,1,5,0,0,0,0,0,Caelan McSweeney,Ethan Lieman,Luca Harwood
2025-02-01 14:13:22,13,8,4,0,1,1,5,0,0,0,1,0,Calan Kirkpatrick,Taylor Hanson,
2025-02-01 14:21:40,14,9,4,0,0,0,0,0,0,0,0,0,,,
2025-02-01 14:23:14,15,9,5,1,1,1,3,0,0,0,0,0,Mason Stone,Ethan Lieman,Mason Stone
2025-02-01 14:25:10,16,10,5,0,0,2,9,2,1,1,2,0,,,
2025-02-01 14:28:41,17,10,6,1,1,1,2,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Gavin Abrahamson
2025-02-01 14:31:04,18,11,6,0,0,0,0,0,0,0,0,0,,,
2025-02-01 14:33:50,19,11,7,1,1,1,6,0,0,0,0,0,Gavin Abrahamson,Griffin Gee,Gavin Abrahamson
2025-02-01 14:36:02,20,12,7,0,1,2,4,1,1,0,1,1,Artie Aucoin,Ian Buchanon,Sam Green
2025-02-01 14:39:01,21,13,7,0,0,0,0,0,0,0,0,0,,,
