Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-03-01 13:30:41,1,0,0,1,0,1,4,1,1,0,0,0,,,
2025-03-01 13:33:25,2,0,1,1,1,1,11,0,0,0,0,0,Luca Harwood,Caelan McSweeney,Gavin Abrahamson
2025-03-01 13:35:45,3,1,1,0,1,1,6,0,0,0,1,0,Mason Stone,Calan Kirkpatrick,Mason Stone
2025-03-01 13:38:50,4,2,1,0,0,0,0,0,0,0,0,0,,,
2025-03-01 13:42:35,5,2,2,1,1,1,13,0,0,0,0,0,Gavin Abrahamson,Roan Dunkerley,Luca Harwood
2025-03-01 13:45:21,6,3,2,0,1,2,21,1,1,0,1,1,Shiff Burt,Artie Aucoin,Nima Lhamo
2025-03-01 13:53:37,7,4,2,0,1,1,1,0,0,0,0,1,,Mason Stone,Charlie Leightheiser
2025-03-01 13:56:26,8,5,2,0,0,0,0,0,0,0,0,0,,,
2025-03-01 13:58:44,9,5,3,1,0,1,3,1,1,0,0,0,,,
2025-03-01 14:01:05,10,5,4,1,1,1,9,0,0,0,0,0,Carter Hawkins,Caelan McSweeney,Gavin Abrahamson
2025-03-01 14:03:09,11,6,4,0,1,3,18,2,2,0,2,1,,Mason Stone,Calan Kirkpatrick
2025-03-01 14:10:07,12,7,4,0,1,1,6,0,0,0,0,1,Carter Hawkins,Caelan McSweeney,Carter Hawkins
2025-03-01 14:14:36,13,8,4,0,0,1,4,1,1,0,0,1,,,
2025-03-01 14:23:56,14,8,5,1,1,2,6,1,1,0,0,1,Gavin Abrahamson,Mason Stone,Gavin Abrahamson
2025-03-01 14:27:37,15,9,5,0,0,2,4,2,1,1,0,2,,,
2025-03-01 14:32:06,16,9,6,1,1,2,10,1,1,0,0,1,,Mason Stone,Caelan McSweeney
2025-03-01 14:35:14,17,10,6,0,0,0,0,0,0,0,0,0,,,
2025-03-01 14:38:04,18,10,7,1,1,1,2,0,0,0,0,0,Carter Hawkins,Caelan McSweeney,Gavin Abrahamson
2025-03-01 14:40:00,19,11,7,0,1,3,12,2,2,0,1,2,Calan Kirkpatrick,Leo Narbonne,Wes K-H
2025-03-01 14:45:57,20,12,7,0,1,1,4,0,0,0,0,1,Charlie Leightheiser,Tomo Liou,Sam Green
2025-03-01 14:50:00,21,13,7,0,0,0,0,0,0,0,0,0,,,
2025-03-01 14:52:21,22,13,8,1,1,1,8,0,0,0,0,0,Shiff Burt,Roan Dunkerley,Gavin Abrahamson
2025-03-01 14:54:35,23,14,8,0,1,1,6,0,0,0,0,1,Chaz Norris,Charlie Leightheiser,Wes K-H
2025-03-01 14:57:16,24,15,8,0,0,0,0,0,0,0,0,0,,,
