Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-03-01 11:29:54,1,0,0,1,1,3,15,2,1,1,0,2,Griffin Gee,Caelan McSweeney,Ethan Lieman
2025-03-01 11:35:21,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-03-01 11:37:13,3,1,1,1,0,1,3,1,1,0,0,0,,,
2025-03-01 11:39:10,4,1,2,1,1,3,11,2,2,0,0,2,Gavin Abrahamson,Caelan McSweeney,Gavin Abrahamson
2025-03-01 11:42:52,5,2,2,0,0,0,0,0,0,0,0,0,,,
2025-03-01 11:45:53,6,2,3,1,0,1,1,1,1,0,0,0,,,
2025-03-01 11:48:09,7,2,4,1,1,3,12,2,2,0,2,0,Caelan McSweeney,Mason Stone,Roan Dunkerley
2025-03-01 11:54:01,8,3,4,0,1,1,2,0,0,0,0,1,Mason Stone,Griffin Gee,Nadav Berkman
2025-03-01 11:57:18,9,4,4,0,0,1,10,1,1,0,0,1,,,
2025-03-01 12:01:06,10,4,5,1,0,1,5,1,1,0,0,0,,,
2025-03-01 12:04:57,11,4,6,1,0,2,10,2,2,0,1,0,,,
2025-03-01 12:09:50,12,4,7,0,0,0,0,0,0,0,0,0,,,
2025-03-01 12:18:29,13,4,8,1,1,2,18,1,1,0,1,0,Ian Buchanon,Carter Hawkins,Shiff Burt
2025-03-01 12:22:32,14,5,8,0,0,3,6,3,3,0,3,0,,,
2025-03-01 12:29:29,15,5,9,1,1,1,8,0,0,0,0,0,Caelan McSweeney,Griffin Gee,Carter Hawkins
2025-03-01 12:31:38,16,6,9,0,1,2,8,1,1,0,0,2,Luca Harwood,Carter Hawkins,Sam Green
2025-03-01 12:37:22,17,7,9,0,0,0,0,0,0,0,0,0,,,
2025-03-01 12:41:27,18,7,10,1,1,2,6,1,0,1,1,0,,Caelan McSweeney,Gavin Abrahamson
2025-03-01 12:43:31,19,8,10,0,1,1,7,0,0,0,0,1,Artie Aucoin,Calan Kirkpatrick,Artie Aucoin
2025-03-01 12:46:38,20,9,10,0,0,0,0,0,0,0,0,0,,,
2025-03-01 12:48:53,21,9,11,1,1,1,3,0,0,0,0,0,Luca Harwood,Gavin Abrahamson,Griffin Gee
2025-03-01 12:50:48,22,10,11,0,1,1,10,0,0,0,1,0,Toby Paperno,Artie Aucoin,Shiff Burt
2025-03-01 12:55:17,23,11,11,0,1,1,1,0,0,0,0,1,,Caelan McSweeney,Mason Stone
2025-03-01 12:57:23,24,12,11,0,0,0,0,0,0,0,0,0,,,
