Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-03-02 11:59:30,1,0,0,1,1,1,12,0,0,0,0,0,Luca Harwood,Ethan Lieman,Roan Dunkerley
2025-03-02 12:01:44,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-03-02 12:03:24,3,1,1,1,1,1,11,0,0,0,0,0,Gavin Abrahamson,Caelan McSweeney,Luca Harwood
2025-03-02 12:06:41,4,2,1,0,1,2,21,1,1,0,0,2,Leo Narbonne,Artie Aucoin,Gavin Abrahamson
2025-03-02 12:11:08,5,3,1,0,0,0,0,0,0,0,0,0,,,
2025-03-02 12:15:31,6,3,2,1,1,1,5,0,0,0,0,0,Roan Dunkerley,Gavin Abrahamson,Griffin Gee
2025-03-02 12:17:26,7,4,2,0,0,1,1,1,1,0,0,1,,,
2025-03-02 12:20:33,8,4,3,1,1,2,20,1,1,0,0,1,Griffin Gee,Carter Hawkins,Shiff Burt
2025-03-02 12:25:11,9,5,3,0,0,0,0,0,0,0,0,0,,,
2025-03-02 12:27:12,10,5,4,1,1,1,9,0,0,0,0,0,Roan Dunkerley,Carter Hawkins,Luca Harwood
2025-03-02 12:29:31,11,6,4,0,0,0,0,0,0,0,0,0,,,
2025-03-02 12:31:22,12,6,5,1,1,1,7,0,0,0,0,0,Caelan McSweeney,Carter Hawkins,Griffin Gee
2025-03-02 12:33:23,13,7,5,0,0,1,3,1,1,0,1,0,,,
2025-03-02 12:37:38,14,7,6,1,1,1,10,0,0,0,0,0,Luca Harwood,Carter Hawkins,Shiff Burt
2025-03-02 12:41:11,15,8,6,0,0,0,0,0,0,0,0,0,,,
2025-03-02 12:50:29,16,8,7,1,1,1,5,0,0,0,0,0,Shiff Burt,Mason Stone,Carter Hawkins
2025-03-02 12:52:30,17,9,7,0,0,0,0,0,0,0,0,0,,,
2025-03-02 12:54:56,18,9,8,1,0,1,3,1,1,0,0,0,,,
2025-03-02 12:56:51,19,9,9,1,0,1,3,1,1,0,0,0,,,
2025-03-02 12:58:49,20,9,10,1,1,3,13,2,2,0,0,2,Mason Stone,Calan Kirkpatrick,Mason Stone
2025-03-02 13:05:35,21,10,10,0,0,0,0,0,0,0,0,0,,,
2025-03-02 13:07:36,22,10,11,1,1,1,17,0,0,0,0,0,Griffin Gee,Caelan McSweeney,Mason Stone
2025-03-02 13:12:57,23,11,11,0,0,1,7,1,0,1,0,1,,,
2025-03-02 13:19:36,24,11,12,1,1,4,16,3,3,0,1,2,Carter Hawkins,Artie Aucoin,Carter Hawkins
2025-03-02 13:25:31,25,12,12,0,0,0,0,0,0,0,0,0,,,
2025-03-02 13:28:04,26,12,13,1,1,1,4,0,0,0,0,0,Caelan McSweeney,Gavin Abrahamson,Roan Dunkerley
2025-03-02 13:29:51,27,13,13,0,1,1,5,0,0,0,1,0,Calan Kirkpatrick,Sam Green,Tomo Liou
2025-03-02 13:34:02,28,14,13,0,0,0,0,0,0,0,0,0,,,
2025-03-02 13:38:56,29,14,14,1,0,3,25,3,2,1,2,0,,,
2025-03-02 13:49:18,30,14,15,1,0,0,0,0,0,0,0,0,,,
