Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-02-01 17:48:42,1,0,0,1,1,1,3,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Ethan Lieman
2025-02-01 17:50:24,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-02-01 17:52:12,3,1,1,1,0,2,19,2,2,0,1,0,,,
2025-02-01 17:58:47,4,1,2,1,0,1,5,1,1,0,0,0,,,
2025-02-01 18:01:12,5,1,3,1,1,1,7,0,0,0,0,0,Carter Hawkins,Caelan McSweeney,Ethan Lieman
2025-02-01 18:04:30,6,2,3,1,1,1,2,0,0,0,0,1,,Luca Harwood,
2025-02-01 18:12:32,7,3,3,0,0,0,0,0,0,0,0,0,,,
2025-02-01 18:12:56,8,3,4,1,1,1,1,0,0,0,0,0,,Artie Aucoin,Ian Buchanon
2025-02-01 18:14:05,9,4,4,0,1,2,16,1,1,0,2,0,Gavin Abrahamson,Calan Kirkpatrick,Mason Stone
2025-02-01 18:16:55,10,5,4,0,1,1,7,0,0,0,0,1,Artie Aucoin,Toby Paperno,Sam Green
2025-02-01 18:22:00,11,6,4,0,1,1,9,0,0,0,1,0,Jonathan Coombs,Leo Narbonne,Ian Buchanon
2025-02-01 18:23:17,12,7,4,0,1,2,12,1,1,0,0,2,Artie Aucoin,Mason Stone,Ian Buchanon
2025-02-01 18:34:57,13,8,4,0,0,0,0,0,0,0,0,0,,,
2025-02-01 18:37:24,14,8,5,1,1,1,4,0,0,0,0,0,Mason Stone,Caelan McSweeney,Ethan Lieman
2025-02-01 18:38:55,15,9,5,0,1,1,14,0,0,0,0,1,Caelan McSweeney,Luca Harwood,Artie Aucoin
2025-02-01 18:42:38,16,10,5,0,0,2,17,2,2,0,1,1,,,
2025-02-01 18:47:19,17,10,6,1,1,2,16,1,1,0,1,0,Gavin Abrahamson,Caelan McSweeney,Ethan Lieman
2025-02-01 18:50:11,18,11,6,0,0,0,0,0,0,0,0,0,,,
2025-02-01 18:52:27,19,11,7,1,1,1,9,0,0,0,0,0,Caelan McSweeney,Calan Kirkpatrick,Shiff Burt
2025-02-01 18:55:08,20,12,7,0,0,1,2,1,0,1,0,1,,,
2025-02-01 18:57:15,21,12,8,1,1,3,20,2,2,0,1,1,Mason Stone,Artie Aucoin,Mason Stone
2025-02-01 19:04:33,22,13,8,0,0,0,0,0,0,0,0,0,,,
