Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-01-31 11:40:42,1,0,0,1,0,1,2,1,0,1,0,0,,,
2025-01-31 11:45:35,2,0,1,1,1,1,1,0,0,0,0,0,,Caelan McSweeney,Ian Buchanon
2025-01-31 11:46:15,3,1,1,0,0,3,11,3,1,2,3,0,,,
2025-01-31 11:53:42,4,1,2,1,1,1,1,0,0,0,0,0,,Mason Stone,Shiff Burt
2025-01-31 11:54:01,5,2,2,0,0,3,12,3,3,0,0,3,,,
2025-01-31 12:00:02,6,2,3,1,1,1,7,0,0,0,0,0,Griffin Gee,Caelan McSweeney,Roan Dunkerley
2025-01-31 12:04:46,7,3,3,0,0,2,17,2,2,0,0,2,,,
2025-01-31 12:13:37,8,3,4,1,1,3,11,2,1,1,2,0,Luca Harwood,Calan Kirkpatrick,Caelan McSweeney
2025-01-31 12:17:37,9,4,4,0,1,2,12,1,0,1,1,1,Carter Hawkins,Ethan Lieman,Shiff Burt
2025-01-31 12:22:19,10,5,4,0,0,0,0,0,0,0,0,0,,,
2025-01-31 12:25:13,11,5,5,1,1,2,2,1,1,1,1,0,,Carter Hawkins,Griffin Gee
2025-01-31 12:28:36,12,6,5,0,0,0,0,0,0,0,0,0,,,
2025-01-31 12:32:03,13,6,6,1,1,2,24,1,1,0,0,1,Carter Hawkins,Luca Harwood,Roan Dunkerley
2025-01-31 12:38:13,14,7,6,0,1,2,9,1,1,0,0,2,,Artie Aucoin,Calan Kirkpatrick
2025-01-31 12:50:17,15,8,6,0,0,0,0,0,0,0,0,0,,,
2025-01-31 12:52:52,16,8,7,1,1,1,1,0,0,0,0,0,,Caelan McSweeney,Gavin Abrahamson
2025-01-31 12:54:58,17,9,7,0,0,1,6,1,1,0,0,1,,,
2025-01-31 13:00:24,18,9,8,1,1,1,10,0,0,0,0,0,Ethan Lieman,Caelan McSweeney,Griffin Gee
2025-01-31 13:03:46,19,10,8,0,0,0,0,0,0,0,0,0,,,
