Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-03-02 07:59:28,1,0,0,1,1,2,10,1,1,0,1,0,Griffin Gee,Caelan McSweeney,Ethan Lieman
2025-03-02 08:03:39,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-03-02 08:05:51,3,1,1,1,1,2,9,1,1,0,0,1,,Caelan McSweeney,Shiff Burt
2025-03-02 08:08:43,4,2,1,0,1,2,7,0,0,0,1,1,Ethan Lieman,Artie Aucoin,Jonathan Coombs
2025-03-02 08:13:17,5,3,1,0,0,2,10,2,2,0,1,1,,,
2025-03-02 08:18:10,6,3,2,1,1,3,9,2,2,0,1,1,,Caelan McSweeney,Ethan Lieman
2025-03-02 08:22:41,7,4,2,0,0,0,0,0,0,0,0,0,,,
2025-03-02 08:24:14,8,4,3,1,1,2,21,1,1,0,0,1,Ethan Lieman,Griffin Gee,Ethan Lieman
2025-03-02 08:29:26,9,5,3,0,0,1,8,1,0,1,1,0,,,
2025-03-02 08:32:53,10,5,4,1,0,1,2,1,0,1,0,0,,,
2025-03-02 08:35:28,11,5,5,1,1,1,8,0,0,0,0,0,Carter Hawkins,Caelan McSweeney,Ethan Lieman
2025-03-02 08:37:22,12,6,5,0,1,1,2,0,0,0,1,0,Ethan Lieman,Calan Kirkpatrick,Ethan Lieman
2025-03-02 08:39:07,13,7,5,0,1,1,4,0,0,0,1,0,Chaz Norris,Calan Kirkpatrick,Ethan Lieman
2025-03-02 08:41:34,14,8,5,0,1,2,18,1,1,0,1,1,Leo Narbonne,Toby Paperno,Artie Aucoin
2025-03-02 08:54:34,15,9,5,0,1,1,5,0,0,0,0,1,Calan Kirkpatrick,Leo Narbonne,Jonathan Coombs
2025-03-02 08:56:56,16,10,5,0,0,0,0,0,0,0,0,0,,,
2025-03-02 09:01:23,17,10,6,1,0,1,8,1,1,0,0,0,,,
2025-03-02 09:03:32,18,10,7,1,1,1,4,0,0,0,0,0,Mason Stone,Luca Harwood,Roan Dunkerley
2025-03-02 09:05:20,19,11,7,0,1,3,7,2,1,1,1,2,Toby Paperno,Shiff Burt,Artie Aucoin
2025-03-02 09:09:27,20,12,7,0,0,0,0,0,0,0,0,0,,,
2025-03-02 09:11:45,21,12,8,1,1,1,10,0,0,0,0,0,Ethan Lieman,Caelan McSweeney,Carter Hawkins
2025-03-02 09:14:25,22,13,8,0,0,0,0,0,0,0,0,0,,,
2025-03-02 09:16:57,23,13,9,1,1,1,13,0,0,0,0,0,Ethan Lieman,Carter Hawkins,Roan Dunkerley
2025-03-02 09:19:46,24,14,9,0,0,0,0,0,0,0,0,0,,,
2025-03-02 09:21:58,25,14,10,1,1,1,7,0,0,0,0,0,Griffin Gee,Carter Hawkins,Shiff Burt
2025-03-02 09:23:48,26,15,10,0,0,0,0,0,0,0,0,0,,,
