Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-02-01 11:38:03,1,0,0,1,1,1,3,0,0,0,0,0,Ethan Lieman,Luca Harwood,Roan Dunkerley
2025-02-01 11:41:46,2,1,0,0,0,1,5,1,1,0,1,0,,,
2025-02-01 11:45:20,3,1,1,1,1,1,6,0,0,0,0,0,Roan Dunkerley,Luca Harwood,Calan Kirkpatrick
2025-02-01 11:47:14,4,2,1,0,1,2,9,1,1,0,2,0,Calan Kirkpatrick,Sam Green,Artie Aucoin
2025-02-01 11:51:36,5,3,1,0,0,0,0,0,0,0,0,0,,,
2025-02-01 11:53:46,6,3,2,1,1,1,13,0,0,0,0,0,Artie Aucoin,Carter Hawkins,Mason Stone
2025-02-01 11:56:51,7,4,2,0,1,1,5,0,0,0,1,0,Mason Stone,Taylor Hanson,Calan Kirkpatrick
2025-02-01 11:59:30,8,5,2,0,1,1,6,0,0,0,1,0,Sam Green,Charlie Leightheiser,Gavin Abrahamson
2025-02-01 12:02:25,9,6,2,0,1,1,3,0,0,0,1,0,Leo Narbonne,Tomo Liou,Sam Green
2025-02-01 12:10:25,10,7,2,0,0,0,0,0,0,0,0,0,,,
2025-02-01 12:18:08,11,7,3,1,1,1,8,0,0,0,0,0,Roan Dunkerley,Griffin Gee,Luca Harwood
2025-02-01 12:20:24,12,8,3,0,1,1,13,0,0,0,1,0,Ethan Lieman,Artie Aucoin,Shiff Burt
2025-02-01 12:23:16,13,9,3,0,1,1,1,0,0,0,0,1,,Caelan McSweeney,Luca Harwood
2025-02-01 12:25:27,14,10,3,0,0,0,0,0,0,0,0,0,,,
2025-02-01 12:28:06,15,10,4,1,1,2,7,1,1,0,1,0,Luca Harwood,Shiff Burt,Ian Buchanon
2025-02-01 12:31:20,16,11,4,0,1,3,11,2,2,1,3,0,Charlie Leightheiser,Ian Buchanon,Wes K-H
2025-02-01 12:36:10,17,12,4,0,1,1,4,0,0,0,0,1,Sam Green,Griffin Gee,Gavin Abrahamson
2025-02-01 12:40:08,18,13,4,0,0,0,0,0,0,0,0,0,,,
