Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-02-02 07:59:31,1,0,0,0,1,1,1,0,0,0,0,1,,Artie Aucoin,Calan Kirkpatrick
2025-02-02 08:01:54,2,1,0,0,0,1,13,1,1,0,0,1,,,
2025-02-02 08:05:42,3,1,1,1,1,1,2,0,0,0,0,0,Carter Hawkins,Caelan McSweeney,Ethan Lieman
2025-02-02 08:07:33,4,2,1,0,0,0,0,0,0,0,0,0,,,
2025-02-02 08:09:44,5,2,2,1,1,1,12,0,0,0,0,0,Luca Harwood,Carter Hawkins,Caelan McSweeney
2025-02-02 08:12:33,6,3,2,0,0,0,0,0,0,0,0,0,,,
2025-02-02 08:15:03,7,3,3,1,1,1,13,0,0,0,0,0,Nadav Berkman,Ethan Lieman,Griffin Gee
2025-02-02 08:17:33,8,4,3,0,1,1,16,0,0,0,1,0,Toby Paperno,Artie Aucoin,Shiff Burt
2025-02-02 08:20:18,9,5,3,0,0,2,11,2,2,0,2,0,,,
2025-02-02 08:24:20,10,5,4,1,0,1,4,1,1,0,0,0,,,
2025-02-02 08:27:40,11,5,5,1,1,1,3,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Gavin Abrahamson
2025-02-02 08:29:33,12,6,5,0,0,1,9,1,1,0,0,1,,,
2025-02-02 08:33:11,13,6,6,1,1,1,2,0,0,0,0,0,Caelan McSweeney,Roan Dunkerley,Luca Harwood
2025-02-02 08:35:11,14,7,6,1,1,1,14,0,0,0,0,0,Griffin Gee,Carter Hawkins,Artie Aucoin
2025-02-02 08:47:17,15,8,6,0,1,2,29,1,0,1,1,1,Nadav Berkman,Calan Kirkpatrick,Nadav Berkman
2025-02-02 08:55:01,16,9,6,0,0,0,0,0,0,0,0,0,,,
2025-02-02 08:59:06,17,9,7,1,1,1,10,0,0,0,0,0,Ethan Lieman,Carter Hawkins,Caelan McSweeney
2025-02-02 09:01:22,18,10,7,0,0,0,0,0,0,0,0,0,,,
2025-02-02 09:03:27,19,10,8,1,1,3,34,2,2,0,1,1,Caelan McSweeney,Calan Kirkpatrick,Luca Harwood
2025-02-02 09:09:21,20,11,8,0,0,0,0,0,0,0,0,0,,,
2025-02-02 09:11:37,21,11,9,1,1,1,9,0,0,0,0,0,Caelan McSweeney,Luca Harwood,Caelan McSweeney
2025-02-02 09:13:36,22,12,9,0,1,1,2,0,0,0,1,0,Caelan McSweeney,Toby Paperno,Carter Hawkins
2025-02-02 09:16:10,23,13,9,0,0,0,0,0,0,0,0,0,,,
