Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-02-02 09:41:14,1,1,1,1,0.7236287,0.8494318,Carter Hawkins,11,Griffin Gee,Carter Hawkins,Gavin Abrahamson,,,
2025-02-02 09:45:02,3,1,1,1,0.42616034,0.77485794,Carter Hawkins,5,Gavin Abrahamson,Roan Dunkerley,Shiff Burt,,,
2025-02-02 09:47:10,4,1,0,0,0.0,0.52272725,Artie Aucoin,4,,,,Taylor Hanson,,
2025-02-02 09:50:37,5,1,1,0,0.48101267,0.6910511,Carter Hawkins,4,,,,Caelan McSweeney,,
2025-02-02 09:52:26,5,2,1,0,0.28270042,0.7833807,Carter Hawkins,8,,,,Nadav Berkman,,
2025-02-02 09:56:05,6,1,1,0,0.21518987,0.6796875,Carter Hawkins,4,,,,,Luca Harwood,
2025-02-02 09:59:15,7,1,1,1,0.32911393,0.6526989,Carter Hawkins,14,Ethan Lieman,Caelan McSweeney,Luca Harwood,,,
2025-02-02 10:03:47,9,1,1,1,0.4620253,0.88778406,Carter Hawkins,16,Caelan McSweeney,Luca Harwood,Carter Hawkins,,,
2025-02-02 10:07:52,10,1,0,0,0.43037975,0.77272725,Charlie Leightheiser,6,,,,Charlie Leightheiser,,
2025-02-02 10:10:38,11,1,1,0,0.38396624,0.72798294,Carter Hawkins,2,,,,Caelan McSweeney,,
2025-02-02 10:11:19,11,2,1,1,0.7257384,0.8302557,Roan Dunkerley,4,Griffin Gee,Carter Hawkins,Ethan Lieman,,,
2025-02-02 10:22:07,13,1,0,0,0.20253165,0.56747156,Artie Aucoin,1,,,,,Toby Paperno,
2025-02-02 10:24:05,14,1,1,1,0.22362868,0.63920456,Carter Hawkins,12,Caelan McSweeney,Carter Hawkins,Luca Harwood,,,
2025-02-02 10:29:02,16,1,0,0,0.8122363,0.7990057,Carter Hawkins,11,,,,Caelan McSweeney,,
2025-02-02 10:30:11,16,2,0,0,0.45147678,0.76491475,Luca Harwood,2,,,,Carter Hawkins,,
2025-02-02 10:30:58,16,3,0,1,0.64978904,0.70170456,Ethan Lieman,5,Carter Hawkins,Ethan Lieman,Shiff Burt,,,
2025-02-02 10:34:16,17,1,0,1,0.42616034,0.7776989,Caelan McSweeney,14,Artie Aucoin,Caelan McSweeney,Sam Green,,,
2025-02-02 10:38:40,18,1,0,0,0.5021097,0.67258525,Charlie Leightheiser,3,,,,,Charlie Leightheiser,
2025-02-02 10:41:07,19,1,1,1,0.57383966,0.71946025,Carter Hawkins,5,Caelan McSweeney,Roan Dunkerley,Ethan Lieman,,,
2025-02-02 10:44:44,21,1,1,1,0.47257385,0.70809656,Carter Hawkins,6,Calan Kirkpatrick,Carter Hawkins,Gavin Abrahamson,,,
2025-02-02 10:49:40,23,1,1,0,0.3206751,0.7223011,Carter Hawkins,2,,,,Caelan McSweeney,,
