Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-01-31 15:21:52,1,1,1,0,0.5780591,0.62357956,Caelan McSweeney,3,,,,Luca Harwood,,
2025-01-31 15:22:38,1,2,1,1,0.7721519,0.7855114,Carter Hawkins,4,Gavin Abrahamson,Luca Harwood,Ethan Lieman,,,
2025-01-31 15:25:10,2,1,0,1,0.28691983,0.7478693,,5,Wes K-H,Charlie Leightheiser,Leo Narbonne,,,
2025-01-31 15:28:26,3,1,0,0,0.9135021,0.78409094,Artie Aucoin,16,,,,,Artie Aucoin,
2025-01-31 15:30:59,3,2,0,1,0.15189873,0.36576703,Artie Aucoin,1,,Artie Aucoin,Mason Stone,,,
2025-01-31 15:34:53,4,1,0,0,0.62658226,0.7833807,Jonathan Coombs,3,,,,,,
2025-01-31 15:38:46,5,1,1,0,0.9556962,0.49573863,Luca Harwood,5,,,,Ian Buchanon,,
2025-01-31 15:40:46,5,2,1,1,0.18987341,0.30113637,Caelan McSweeney,1,,Caelan McSweeney,Luca Harwood,,,
2025-01-31 15:45:50,7,1,1,1,0.48734176,0.74360794,Carter Hawkins,3,Luca Harwood,Mason Stone,Shiff Burt,,,
2025-01-31 15:50:02,8,1,0,1,0.7995781,0.4453125,Taylor Hanson,6,Calan Kirkpatrick,Taylor Hanson,Wes K-H,,,
2025-01-31 15:52:26,9,1,0,1,0.5021097,0.23011364,Artie Aucoin,1,,Artie Aucoin,Nadav Berkman,,,
2025-01-31 16:02:59,10,1,0,0,0.5232068,0.7855114,Ian Buchanon,6,,,,,Leo Narbonne,
2025-01-31 16:05:33,11,1,1,0,0.74261606,0.71946025,Carter Hawkins,4,,,,Luca Harwood,,
2025-01-31 16:07:04,11,2,1,0,0.19409283,0.66690344,Caelan McSweeney,1,,,,,Luca Harwood,
2025-01-31 16:07:25,11,3,1,0,0.12236287,0.72727275,Carter Hawkins,4,,,,Mason Stone,,
2025-01-31 16:08:02,11,4,1,0,0.65400845,0.7926136,Carter Hawkins,2,,,,Ethan Lieman,,
2025-01-31 16:09:35,11,5,1,1,0.4029536,0.27272728,Griffin Gee,2,Griffin Gee,Mason Stone,Griffin Gee,,,
2025-01-31 16:12:41,12,1,0,1,0.66033757,0.43892047,Mason Stone,6,Ian Buchanon,Artie Aucoin,Sam Green,,,
2025-01-31 16:15:31,13,1,0,1,0.7742616,0.7869318,Leo Narbonne,13,Toby Paperno,Ethan Lieman,Toby Paperno,,,
2025-01-31 16:19:19,14,1,0,0,0.30590716,0.77485794,Griffin Gee,9,,,,,,
2025-01-31 16:20:39,14,2,0,1,0.57383966,0.7791193,Charlie Leightheiser,7,Gavin Abrahamson,Wes K-H,Sam Green,,,
2025-01-31 16:24:07,15,1,0,1,0.56329113,0.609375,Wes K-H,7,Taylor Hanson,Charlie Leightheiser,Taylor Hanson,,,
2025-01-31 16:28:24,16,1,0,1,0.5274262,0.77201706,Ian Buchanon,3,Jonathan Coombs,Wes K-H,Tomo Liou,,,
