Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-03-01 21:28:07,1,1,1,1,0.5232068,0.76420456,Carter Hawkins,14,Carter Hawkins,Caelan McSweeney,Griffin Gee,,,
2025-03-01 21:35:09,3,1,1,0,0.6118143,0.73153406,Carter Hawkins,6,,,,Roan Dunkerley,,
2025-03-01 21:36:33,3,2,1,1,1.0,0.51420456,Carter Hawkins,3,Luca Harwood,Carter Hawkins,Shiff Burt,,,
2025-03-01 21:39:49,4,1,0,0,0.6687764,0.66122156,Artie Aucoin,7,,,,Shiff Burt,,
2025-03-01 21:41:34,4,2,0,0,0.66033757,0.7755682,Artie Aucoin,4,,,,Ethan Lieman,,
2025-03-01 21:43:37,4,3,0,0,0.5443038,0.77485794,Artie Aucoin,13,,,,,Ethan Lieman,
2025-03-01 21:50:24,5,1,1,0,0.5611814,0.75639206,Carter Hawkins,5,,,,Shiff Burt,,
2025-03-01 21:53:56,5,2,1,0,0.48945147,0.7755682,Carter Hawkins,2,,,,Luca Harwood,,
2025-03-01 21:55:13,5,3,1,1,0.6476793,0.5042614,Mason Stone,3,Caelan McSweeney,Luca Harwood,Ethan Lieman,,,
2025-03-06 10:37:34,7,1,1,0,0.47468355,0.6129261,Caelan McSweeney,1,,,,,Luca Harwood,
2025-03-06 10:38:23,7,2,1,1,0.8016878,0.7379261,Carter Hawkins,15,Luca Harwood,Caelan McSweeney,Ethan Lieman,,,
2025-03-06 10:42:02,9,1,1,1,0.9156118,0.6583807,Griffin Gee,12,Carter Hawkins,Shiff Burt,Griffin Gee,,,
2025-03-06 10:45:55,10,1,0,0,0.2616034,0.640625,Artie Aucoin,6,,,,,Artie Aucoin,
2025-03-06 10:47:46,11,1,1,0,0.76160336,0.8068182,Carter Hawkins,5,,,,,Luca Harwood,
2025-03-06 10:48:34,11,2,1,0,0.4599156,0.48792613,Caelan McSweeney,7,,,,Carter Hawkins,,
2025-03-06 10:50:39,11,3,1,0,0.14978904,0.64346594,Caelan McSweeney,1,,,,Caelan McSweeney,,
2025-03-06 10:51:22,11,4,1,0,0.613924,0.62215906,Mason Stone,3,,,,Luca Harwood,,
2025-03-06 12:07:29,11,5,1,0,0.1793249,0.78835225,Luca Harwood,10,,,,Ian Buchanon,,
2025-03-06 12:11:04,11,6,1,0,0.79535866,0.7769886,Caelan McSweeney,1,,,,Caelan McSweeney,,
2025-03-06 12:15:12,12,1,1,1,0.51054853,0.62357956,Caelan McSweeney,11,Caelan McSweeney,Carter Hawkins,Ethan Lieman,,,
2025-03-06 13:53:19,14,1,0,0,0.87974685,0.7776989,Leo Narbonne,5,,,,,Toby Paperno,
2025-03-06 13:54:31,14,2,0,1,0.0,0.49857953,Artie Aucoin,10,Artie Aucoin,Calan Kirkpatrick,Toby Paperno,,,
2025-03-06 23:37:17,15,1,0,0,0.96413505,0.76704544,Mason Stone,10,,,,,Tomo Liou,
2025-03-06 23:38:18,15,2,0,0,0.6983122,0.61221594,Artie Aucoin,13,,,,,Tomo Liou,
2025-03-06 23:40:33,15,3,0,0,0.02742616,0.4637784,Mason Stone,7,,,,Calan Kirkpatrick,,
2025-03-06 23:41:38,15,4,0,1,0.78902954,0.3721591,Artie Aucoin,4,Chaz Norris,Mason Stone,Calan Kirkpatrick,,,
2025-03-06 23:44:32,16,1,0,0,0.01898734,0.7833807,Carter Hawkins,1,,,,Carter Hawkins,,
2025-03-06 23:46:10,17,1,1,1,0.9704641,0.7066761,Carter Hawkins,5,Mason Stone,Griffin Gee,Shiff Burt,,,
2025-03-06 23:48:54,18,1,0,1,0.30590716,0.37642047,Artie Aucoin,4,Artie Aucoin,Nadav Berkman,Artie Aucoin,,,
2025-03-06 23:51:57,19,1,0,0,0.89451474,0.75852275,Gavin Abrahamson,1,,,,Gavin Abrahamson,,
2025-03-06 23:52:40,19,2,0,0,0.87552744,0.7734375,Charlie Leightheiser,4,,,,Charlie Leightheiser,,
2025-03-06 23:53:38,19,3,0,0,0.8122363,0.77982956,Nadav Berkman,2,,,,Gavin Abrahamson,,
2025-03-06 23:55:18,19,4,0,0,0.14767933,0.7890625,Artie Aucoin,4,,,,,Wes K-H,
2025-03-06 23:57:39,20,1,1,1,0.20675105,0.796875,Shiff Burt,13,Caelan McSweeney,Carter Hawkins,Caelan McSweeney,,,
