Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-03-01 13:31:46,1,1,1,0,0.42405063,0.8160511,Carter Hawkins,4,,,,Luca Harwood,,
2025-03-01 13:34:53,2,1,1,1,0.9156118,0.8359375,Carter Hawkins,11,Luca Harwood,Caelan McSweeney,Gavin Abrahamson,,,
2025-03-01 13:38:33,3,1,0,1,0.4092827,0.40553978,Leo Narbonne,6,Mason Stone,Calan Kirkpatrick,Mason Stone,,,
2025-03-01 13:44:12,5,1,1,1,0.47046414,0.62428975,Caelan McSweeney,13,Gavin Abrahamson,Roan Dunkerley,Luca Harwood,,,
2025-03-01 13:47:36,6,1,0,0,0.0,0.72940344,Artie Aucoin,10,,,,Nima Lhamo,,
2025-03-01 13:51:45,6,2,0,1,0.9135021,0.5916193,Artie Aucoin,11,Shiff Burt,Artie Aucoin,Nima Lhamo,,,
2025-03-01 13:56:12,7,1,0,1,0.0,0.33948863,Mason Stone,1,,Mason Stone,Charlie Leightheiser,,,
2025-03-01 14:00:12,9,1,1,0,0.6413502,0.6427557,Carter Hawkins,3,,,,Luca Harwood,,
2025-03-01 14:02:39,10,1,1,1,0.314346,0.69034094,Carter Hawkins,9,Carter Hawkins,Caelan McSweeney,Gavin Abrahamson,,,
2025-03-01 14:05:29,11,1,0,0,0.62025315,0.5504261,Mason Stone,8,,,,Tomo Liou,,
2025-03-01 14:07:55,11,2,0,0,0.6097046,0.4140625,Mason Stone,9,,,,Roan Dunkerley,,
2025-03-01 14:10:00,11,3,0,1,0.15822785,0.40696022,Mason Stone,1,,Mason Stone,Calan Kirkpatrick,,,
2025-03-01 14:14:07,12,1,0,1,0.70675105,0.78125,Charlie Leightheiser,6,Carter Hawkins,Caelan McSweeney,Carter Hawkins,,,
2025-03-01 14:23:19,13,1,0,0,0.48734176,0.69602275,Artie Aucoin,4,,,,Nima Lhamo,,
2025-03-01 14:25:38,14,1,1,0,0.20464136,0.64701706,Carter Hawkins,2,,,,Caelan McSweeney,,
2025-03-01 14:27:09,14,2,1,1,1.0,0.6228693,Caelan McSweeney,4,Gavin Abrahamson,Mason Stone,Gavin Abrahamson,,,
2025-03-01 14:30:26,15,1,0,0,0.47679326,0.76420456,Leo Narbonne,1,,,,Leo Narbonne,,
2025-03-01 14:30:50,15,2,0,0,1.0,0.7713068,Chaz Norris,3,,,,,Charlie Leightheiser,
2025-03-01 14:33:34,16,1,1,0,0.74472576,0.7755682,Shiff Burt,9,,,,Gavin Abrahamson,,
2025-03-01 14:35:10,16,2,1,1,0.56751055,0.24573864,Mason Stone,1,,Mason Stone,Caelan McSweeney,,,
2025-03-01 14:39:56,18,1,1,1,0.025316456,0.6526989,Carter Hawkins,2,Carter Hawkins,Caelan McSweeney,Gavin Abrahamson,,,
2025-03-01 14:42:35,19,1,0,0,0.6729958,0.78764206,Artie Aucoin,1,,,,Artie Aucoin,,
2025-03-01 14:43:17,19,2,0,0,0.871308,0.6136364,Artie Aucoin,9,,,,Leo Narbonne,,
2025-03-01 14:45:50,19,3,0,1,0.061181433,0.44105113,Calan Kirkpatrick,2,Calan Kirkpatrick,Leo Narbonne,Wes K-H,,,
2025-03-01 14:49:39,20,1,0,1,0.39662448,0.41548297,Nadav Berkman,4,Charlie Leightheiser,Tomo Liou,Sam Green,,,
2025-03-01 14:54:07,22,1,1,1,0.14978904,0.5994318,Caelan McSweeney,8,Shiff Burt,Roan Dunkerley,Gavin Abrahamson,,,
2025-03-01 14:56:47,23,1,0,1,0.9662447,0.52840906,Charlie Leightheiser,6,Chaz Norris,Charlie Leightheiser,Wes K-H,,,
