Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-03-02 12:00:43,1,1,1,1,0.040084388,0.5113636,Carter Hawkins,12,Luca Harwood,Ethan Lieman,Roan Dunkerley,,,
2025-03-02 12:04:58,3,1,1,1,0.4599156,0.6328125,Caelan McSweeney,11,Gavin Abrahamson,Caelan McSweeney,Luca Harwood,,,
2025-03-02 12:08:12,4,1,0,0,0.7489452,0.77201706,Leo Narbonne,11,,,,Gavin Abrahamson,,
2025-03-02 12:10:04,4,2,0,1,0.2299578,0.78764206,Leo Narbonne,10,Leo Narbonne,Artie Aucoin,Gavin Abrahamson,,,
2025-03-02 12:17:00,6,1,1,1,0.48734176,0.68110794,Carter Hawkins,5,Roan Dunkerley,Gavin Abrahamson,Griffin Gee,,,
2025-03-02 12:19:36,7,1,0,0,0.49367088,0.64204544,Artie Aucoin,1,,,,Artie Aucoin,,
2025-03-02 12:22:08,8,1,1,0,0.33333334,0.7933239,Carter Hawkins,12,,,,Caelan McSweeney,,
2025-03-02 12:24:38,8,2,1,1,0.5443038,0.7769886,Caelan McSweeney,8,Griffin Gee,Carter Hawkins,Shiff Burt,,,
2025-03-02 12:28:47,10,1,1,1,0.38607594,0.63139206,Mason Stone,9,Roan Dunkerley,Carter Hawkins,Luca Harwood,,,
2025-03-02 12:32:54,12,1,1,1,0.31012657,0.7691761,Shiff Burt,7,Caelan McSweeney,Carter Hawkins,Griffin Gee,,,
2025-03-02 12:36:39,13,1,0,0,0.76371306,0.6853693,Carter Hawkins,3,,,,Caelan McSweeney,,
2025-03-02 12:40:13,14,1,1,1,0.29113925,0.76278406,Shiff Burt,10,Luca Harwood,Carter Hawkins,Shiff Burt,,,
2025-03-02 12:51:43,16,1,1,1,0.4578059,0.63210225,Caelan McSweeney,5,Shiff Burt,Mason Stone,Carter Hawkins,,,
2025-03-02 12:56:17,18,1,1,0,0.65822786,0.6853693,Shiff Burt,3,,,,Griffin Gee,,
2025-03-02 12:58:20,19,1,1,0,0.25949368,0.828125,Carter Hawkins,3,,,,Luca Harwood,,
2025-03-02 13:02:00,20,1,1,0,0.47890297,0.5234375,Caelan McSweeney,3,,,,Luca Harwood,,
2025-03-02 13:03:34,20,2,1,0,0.6835443,0.4268466,Carter Hawkins,7,,,,Carter Hawkins,,
2025-03-02 13:04:37,20,3,1,1,0.664557,0.41761363,Carter Hawkins,3,Mason Stone,Calan Kirkpatrick,Mason Stone,,,
2025-03-02 13:09:00,22,1,1,1,0.46413502,0.8203125,Mason Stone,17,Griffin Gee,Caelan McSweeney,Mason Stone,,,
2025-03-02 13:15:10,23,1,0,0,0.040084388,0.5568182,Artie Aucoin,7,,,,,Calan Kirkpatrick,
2025-03-02 13:21:01,24,1,1,0,0.42616034,0.61079544,Caelan McSweeney,2,,,,Carter Hawkins,,
2025-03-02 13:22:20,24,2,1,0,0.9957806,0.56960225,Caelan McSweeney,3,,,,Gavin Abrahamson,,
2025-03-02 13:23:09,24,3,1,0,0.6118143,0.77414775,Mason Stone,5,,,,Gavin Abrahamson,,
2025-03-02 13:23:59,24,4,1,1,0.46835443,0.63210225,Mason Stone,6,Carter Hawkins,Artie Aucoin,Carter Hawkins,,,
2025-03-02 13:29:28,26,1,1,1,0.44936708,0.5525568,Caelan McSweeney,4,Caelan McSweeney,Gavin Abrahamson,Roan Dunkerley,,,
2025-03-02 13:32:18,27,1,0,1,0.74261606,0.6072443,Tomo Liou,5,Calan Kirkpatrick,Sam Green,Tomo Liou,,,
2025-03-02 13:41:37,29,1,1,0,0.5337553,0.61221594,Caelan McSweeney,2,,,,,Roan Dunkerley,
2025-03-02 13:42:28,29,2,1,0,0.9493671,0.6136364,Caelan McSweeney,7,,,,Gavin Abrahamson,,
2025-03-02 13:43:50,29,3,1,0,0.24261603,0.8004261,Caelan McSweeney,16,,,,Carter Hawkins,,
