Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-02-01 17:50:01,1,1,1,1,0.5611814,0.88210225,Carter Hawkins,3,Caelan McSweeney,Luca Harwood,Ethan Lieman,,,
2025-02-01 17:53:34,3,1,1,0,0.5274262,0.87997156,Shiff Burt,6,,,,Caelan McSweeney,,
2025-02-01 17:57:11,3,2,1,0,0.52109706,0.63423294,Luca Harwood,13,,,,Luca Harwood,,
2025-02-01 18:00:20,4,1,1,0,0.28481013,0.8238636,Nadav Berkman,5,,,,Griffin Gee,,
2025-02-01 18:04:11,5,1,1,1,0.12236287,0.4190341,Roan Dunkerley,7,Carter Hawkins,Caelan McSweeney,Ethan Lieman,,,
2025-02-01 18:12:28,6,1,1,1,0.2616034,0.59303975,,2,,Luca Harwood,,,,
2025-02-01 18:13:02,8,1,1,1,0.25527427,0.34446022,Artie Aucoin,1,,Artie Aucoin,Ian Buchanon,,,
2025-02-01 18:14:32,9,1,0,0,0.79113925,0.3728693,Charlie Leightheiser,1,,,,Charlie Leightheiser,,
2025-02-01 18:14:43,9,2,0,1,0.2658228,0.4637784,Charlie Leightheiser,15,Gavin Abrahamson,Calan Kirkpatrick,Mason Stone,,,
2025-02-01 18:18:31,10,1,0,1,0.0,0.3799716,Taylor Hanson,7,Artie Aucoin,Toby Paperno,Sam Green,,,
2025-02-01 18:22:40,11,1,0,1,0.33122364,0.8359375,Ian Buchanon,9,Jonathan Coombs,Leo Narbonne,Ian Buchanon,,,
2025-02-01 18:33:11,12,1,0,0,0.8059072,0.7755682,Leo Narbonne,8,,,,Leo Narbonne,,
2025-02-01 18:34:31,12,2,0,1,0.43670887,0.2237216,Artie Aucoin,4,Artie Aucoin,Mason Stone,Ian Buchanon,,,
2025-02-01 18:38:32,14,1,1,1,0.70886075,0.76846594,Carter Hawkins,4,Mason Stone,Caelan McSweeney,Ethan Lieman,,,
2025-02-01 18:41:23,15,1,0,1,0.9113924,0.50639206,Carter Hawkins,14,Caelan McSweeney,Luca Harwood,Artie Aucoin,,,
2025-02-01 18:44:23,16,1,0,0,0.65611815,0.66264206,Taylor Hanson,10,,,,Tomo Liou,,
2025-02-01 18:46:05,16,2,0,0,0.6455696,0.76704544,Charlie Leightheiser,7,,,,Taylor Hanson,,
2025-02-01 18:48:40,17,1,1,0,0.3607595,0.7556818,Caelan McSweeney,3,,,,Ethan Lieman,,
2025-02-01 18:49:14,17,2,1,1,0.19831224,0.8536932,Carter Hawkins,13,Gavin Abrahamson,Caelan McSweeney,Ethan Lieman,,,
2025-02-01 18:53:50,19,1,1,1,0.556962,0.8785511,Shiff Burt,9,Caelan McSweeney,Calan Kirkpatrick,Shiff Burt,,,
2025-02-01 18:56:39,20,1,0,0,0.15189873,0.6697443,Leo Narbonne,2,,,,,Taylor Hanson,
2025-02-01 18:58:35,21,1,1,0,0.47257385,0.87571025,Nadav Berkman,12,,,,Ethan Lieman,,
2025-02-01 19:00:18,21,2,1,0,0.5443038,0.8551136,Artie Aucoin,3,,,,Ethan Lieman,,
2025-02-01 19:02:01,21,3,1,1,0.14978904,0.2090909,Carter Hawkins,5,Mason Stone,Artie Aucoin,Mason Stone,,,
