Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-01-31 11:42:46,1,1,1,0,0.067510545,0.78125,Griffin Gee,2,,,,,,
2025-01-31 11:45:58,2,1,1,1,0.407173,0.32670453,Caelan McSweeney,1,,Caelan McSweeney,Ian Buchanon,,,
2025-01-31 11:48:15,3,1,0,0,0.10548523,0.70596594,,1,,,,,,
2025-01-31 11:49:41,3,2,0,0,0.46624473,0.72798294,Artie Aucoin,7,,,,,,
2025-01-31 11:50:59,3,3,0,0,0.62025315,0.62571025,,3,,,,,,
2025-01-31 11:53:57,4,1,1,1,0.79535866,0.72940344,Mason Stone,1,,Mason Stone,Shiff Burt,,,
2025-01-31 11:56:33,5,1,0,0,0.09282701,0.76491475,Calan Kirkpatrick,5,,,,Roan Dunkerley,,
2025-01-31 11:58:27,5,2,0,0,0.221519,0.75852275,Charlie Leightheiser,2,,,,Mason Stone,,
2025-01-31 11:59:21,5,3,0,0,0.5485232,0.7535511,Taylor Hanson,5,,,,Taylor Hanson,,
2025-01-31 12:01:53,6,1,1,1,0.48523206,0.7265625,Carter Hawkins,7,Griffin Gee,Caelan McSweeney,Roan Dunkerley,,,
2025-01-31 12:07:15,7,1,0,0,0.93037975,0.6598011,Nadav Berkman,1,,,,Nadav Berkman,,
2025-01-31 12:08:42,7,2,0,0,0.17510548,0.7556818,Nadav Berkman,16,,,,Wes K-H,,
2025-01-31 12:15:37,8,1,1,0,0.8122363,0.73934656,Ian Buchanon,2,,,,,Gavin Abrahamson,
2025-01-31 12:16:20,8,2,1,0,0.7827004,0.40980113,Caelan McSweeney,5,,,,Caelan McSweeney,,
2025-01-31 12:17:19,8,3,1,1,0.84810126,0.4481534,Shiff Burt,4,Luca Harwood,Calan Kirkpatrick,Caelan McSweeney,,,
2025-01-31 12:19:55,9,1,0,0,0.0,0.53125,Leo Narbonne,6,,,,,Jonathan Coombs,
2025-01-31 12:21:51,9,2,0,1,0.38818565,0.29758522,Nima Lhamo,6,Carter Hawkins,Ethan Lieman,Shiff Burt,,,
2025-01-31 12:27:24,11,1,1,0,0.47890297,0.6193182,Carter Hawkins,1,,,,Carter Hawkins,Ethan Lieman,
2025-01-31 12:28:26,11,2,1,1,0.51476794,0.3572443,Carter Hawkins,1,,Carter Hawkins,Griffin Gee,,,
2025-01-31 12:35:29,13,1,1,0,0.47257385,0.7151989,Caelan McSweeney,13,,,,Gavin Abrahamson,,
2025-01-31 12:37:18,13,2,1,1,0.11814346,0.75,Caelan McSweeney,11,Carter Hawkins,Luca Harwood,Roan Dunkerley,,,
2025-01-31 12:49:10,14,1,0,0,0.64978904,0.3572443,Leo Narbonne,8,,,,Artie Aucoin,,
2025-01-31 12:50:02,14,2,0,1,0.4556962,0.21519886,Artie Aucoin,1,,Artie Aucoin,Calan Kirkpatrick,,,
2025-01-31 12:54:48,16,1,1,1,0.57383966,0.65767044,Caelan McSweeney,1,,Caelan McSweeney,Gavin Abrahamson,,,
2025-01-31 12:57:26,17,1,0,0,0.17088607,0.78267044,Nadav Berkman,6,,,,Nima Lhamo,,
2025-01-31 13:02:50,18,1,1,1,0.74050635,0.7308239,Carter Hawkins,10,Ethan Lieman,Caelan McSweeney,Griffin Gee,,,
