Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-03-02 08:01:38,1,1,1,0,0.49156117,0.60653406,Caelan McSweeney,6,,,,Luca Harwood,,
2025-03-02 08:03:09,1,2,1,1,0.78902954,0.5269886,Caelan McSweeney,4,Griffin Gee,Caelan McSweeney,Ethan Lieman,,,
2025-03-02 08:07:16,3,1,1,0,0.23417722,0.65625,Carter Hawkins,8,,,,Caelan McSweeney,,
2025-03-02 08:08:32,3,2,1,1,0.24472573,0.2090909,Caelan McSweeney,1,,Caelan McSweeney,Shiff Burt,,,
2025-03-02 08:10:37,4,1,0,0,0.9135021,0.5198864,Shiff Burt,2,,,,,,Artie Aucoin
2025-03-02 08:12:40,4,2,0,1,0.6118143,0.7855114,Artie Aucoin,5,Ethan Lieman,Artie Aucoin,Jonathan Coombs,,,
2025-03-02 08:15:27,5,1,0,0,0.8670886,0.60227275,Gavin Abrahamson,4,,,,Tomo Liou,,
2025-03-02 08:16:35,5,2,0,0,0.96202534,0.77485794,Nadav Berkman,6,,,,Leo Narbonne,,
2025-03-02 08:19:35,6,1,1,0,0.15611814,0.75852275,Carter Hawkins,4,,,,Caelan McSweeney,,
2025-03-02 08:20:39,6,2,1,0,0.0,0.7869318,Caelan McSweeney,4,,,,Ethan Lieman,,
2025-03-02 08:22:09,6,3,1,1,0.044303797,0.28196022,Caelan McSweeney,1,,Caelan McSweeney,Ethan Lieman,,,
2025-03-02 08:25:43,8,1,1,0,0.5063291,0.62571025,Caelan McSweeney,14,,,,Carter Hawkins,,
2025-03-02 08:28:53,8,2,1,1,0.0,0.46164772,Caelan McSweeney,7,Ethan Lieman,Griffin Gee,Ethan Lieman,,,
2025-03-02 08:31:32,9,1,0,0,0.9514768,0.5191761,Mason Stone,8,,,,,Charlie Leightheiser,
2025-03-02 08:34:32,10,1,1,0,0.23839663,0.7322443,Shiff Burt,2,,,,,Roan Dunkerley,
2025-03-02 08:36:53,11,1,1,1,0.42405063,0.61789775,Carter Hawkins,8,Carter Hawkins,Caelan McSweeney,Ethan Lieman,,,
2025-03-02 08:39:02,12,1,0,1,0.38607594,0.40269887,Ethan Lieman,2,Ethan Lieman,Calan Kirkpatrick,Ethan Lieman,,,
2025-03-02 08:41:13,13,1,0,1,0.33966243,0.6171875,Mason Stone,4,Chaz Norris,Calan Kirkpatrick,Ethan Lieman,,,
2025-03-02 08:50:53,14,1,0,0,0.06540085,0.609375,Artie Aucoin,10,,,,Calan Kirkpatrick,,
2025-03-02 08:54:02,14,2,0,1,0.29535866,0.5411932,Leo Narbonne,8,Leo Narbonne,Toby Paperno,Artie Aucoin,,,
2025-03-02 08:56:39,15,1,0,1,0.8312236,0.4900568,Artie Aucoin,5,Calan Kirkpatrick,Leo Narbonne,Jonathan Coombs,,,
2025-03-02 09:02:42,17,1,1,0,0.66033757,0.69034094,Carter Hawkins,8,,,,Carter Hawkins,,
2025-03-02 09:04:58,18,1,1,1,0.17721519,0.7009943,Shiff Burt,4,Mason Stone,Luca Harwood,Roan Dunkerley,,,
2025-03-02 09:06:58,19,1,0,0,0.9957806,0.4865057,Artie Aucoin,3,,,,,Tomo Liou,
2025-03-02 09:07:51,19,2,0,0,0.03586498,0.5099432,Artie Aucoin,2,,,,Nima Lhamo,,
2025-03-02 09:08:44,19,3,0,1,0.3628692,0.4268466,Toby Paperno,2,Toby Paperno,Shiff Burt,Artie Aucoin,,,
2025-03-02 09:13:09,21,1,1,1,0.33333334,0.6505682,Carter Hawkins,10,Ethan Lieman,Caelan McSweeney,Carter Hawkins,,,
2025-03-02 09:18:26,23,1,1,1,0.4978903,0.6058239,Caelan McSweeney,13,Ethan Lieman,Carter Hawkins,Roan Dunkerley,,,
2025-03-02 09:23:17,25,1,1,1,0.51476794,0.67684656,Carter Hawkins,7,Griffin Gee,Carter Hawkins,Shiff Burt,,,
