Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-02-01 11:41:14,1,1,1,1,0.5042194,0.6328125,Caelan McSweeney,3,Ethan Lieman,Luca Harwood,Roan Dunkerley,,,
2025-02-01 11:43:50,2,1,0,0,0.116033755,0.47727272,Artie Aucoin,5,,,,Chaz Norris,,
2025-02-01 11:46:47,3,1,1,1,0.48312235,0.72585225,Caelan McSweeney,6,Roan Dunkerley,Luca Harwood,Calan Kirkpatrick,,,
2025-02-01 11:49:03,4,1,0,0,0.79113925,0.4865057,Toby Paperno,5,,,,Calan Kirkpatrick,,
2025-02-01 11:51:17,4,2,0,1,0.18354431,0.7599432,Taylor Hanson,4,Calan Kirkpatrick,Sam Green,Artie Aucoin,,,
2025-02-01 11:56:01,6,1,1,1,0.5527426,0.7166193,Nadav Berkman,13,Artie Aucoin,Carter Hawkins,Mason Stone,,,
2025-02-01 11:59:06,7,1,0,1,0.65822786,0.3778409,Taylor Hanson,5,Mason Stone,Taylor Hanson,Calan Kirkpatrick,,,
2025-02-01 12:01:49,8,1,0,1,0.5590717,0.71946025,Nadav Berkman,6,Sam Green,Charlie Leightheiser,Gavin Abrahamson,,,
2025-02-01 12:05:03,9,1,0,1,0.6392405,0.4247159,Ian Buchanon,3,Leo Narbonne,Tomo Liou,Sam Green,,,
2025-02-01 12:19:57,11,1,1,1,0.51687765,0.63920456,Carter Hawkins,8,Roan Dunkerley,Griffin Gee,Luca Harwood,,,
2025-02-01 12:22:42,12,1,0,1,0.62025315,0.58664775,Shiff Burt,13,Ethan Lieman,Artie Aucoin,Shiff Burt,,,
2025-02-01 12:25:17,13,1,0,1,0.021097047,0.34375,Caelan McSweeney,1,,Caelan McSweeney,Luca Harwood,,,
2025-02-01 12:29:41,15,1,1,0,0.116033755,0.73579544,Ian Buchanon,3,,,,Gavin Abrahamson,,
2025-02-01 12:31:09,15,2,1,1,0.57172996,0.55397725,Ian Buchanon,4,Luca Harwood,Shiff Burt,Ian Buchanon,,,
2025-02-01 12:34:18,16,1,0,0,0.78902954,0.71377844,Ian Buchanon,4,,,,Tomo Liou,,
2025-02-01 12:34:39,16,2,0,0,0.22573839,0.66122156,Mason Stone,4,,,,Roan Dunkerley,,
2025-02-01 12:35:51,16,3,0,1,0.75527424,0.66548294,Roan Dunkerley,3,Charlie Leightheiser,Ian Buchanon,Wes K-H,,,
2025-02-01 12:39:46,17,1,0,1,0.073839664,0.77201706,Nadav Berkman,4,Sam Green,Griffin Gee,Gavin Abrahamson,,,
